ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
32356	0,156,2,0,0	0,0,0,0,0	0,0,0,0,486,0,0,0,0,0,413,0,0,0,614,97	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	277	149
32357	0,7,0,0,0	0,68,2,0,0	0,0,0,0,142,0,4,0,0,0,155,0,0,0,285,99	0,0,0,0,285,0,0,0,0,0,140,0,0,0,200,28	189	149
32358	0,3,2,0,0	0,0,0,0,0	0,0,0,0,87,0,0,0,0,0,16,0,0,0,31,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0	192	149
32362	0,0,0,0,0	0,37,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,262,0,0,0,2,0,144,0,0,0,93,0	298	149
32363	0,12,2,0,0	0,0,0,0,0	0,0,0,0,283,0,4,0,0,0,205,0,0,0,319,134	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0	167	149
32364	0,18,4,0,0	0,0,0,0,0	0,0,0,0,642,0,8,4,2,6,387,0,0,0,1299,253	0,0,0,0,5,0,0,0,0,0,2,0,0,0,13,3	254	149
32365	0,45,7,0,0	0,0,0,0,0	0,0,0,0,1041,3,4,2,0,2,664,0,0,0,1914,66	0,0,0,0,7,0,0,0,0,0,5,0,0,0,26,5	230	149
32368	0,4,0,0,0	0,0,0,0,0	0,0,0,0,36,0,0,0,0,0,88,0,0,0,30,3	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	217	149
32372	0,23,0,0,0	0,0,0,0,0	0,0,0,0,99,0,0,0,2,0,122,0,0,0,69,17	0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0	251	149
32374	0,14,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4	0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0	298	149
32378	0,11,2,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0	298	149
32384	0,121,0,0,0	0,0,0,0,0	0,0,0,0,615,0,0,0,0,0,185,0,0,0,0,11	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	298	149
32385	0,75,0,0,0	0,9,0,0,0	0,0,0,0,237,0,0,0,0,0,69,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	228	149
32386	0,229,0,0,0	0,16,0,0,0	0,0,0,0,363,0,0,0,0,0,538,0,0,0,6,5	0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0	226	149
32387	0,164,0,0,0	0,9,0,0,0	0,0,0,0,226,0,0,0,0,0,417,0,0,0,6,5	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	225	149
32388	0,548,0,0,0	0,23,0,0,0	0,0,0,0,1387,0,0,0,0,0,1058,0,0,0,2,21	0,0,0,0,22,0,0,0,0,0,47,0,0,0,0,2	267	149
32389	0,28,0,0,0	0,5,0,0,0	0,0,0,0,29,0,0,0,0,0,30,0,0,0,26,0	0,0,0,0,63,0,0,0,0,0,1,0,0,0,0,1	199	149
32390	0,58,0,0,2	0,10,0,0,0	0,0,0,0,49,0,0,0,0,0,125,0,0,0,31,8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	226	149
32391	0,7,2,0,0	0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,8,0,0,0,80,4	0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0	273	149
32392	0,6,2,0,0	0,1,0,0,0	0,0,0,0,18,0,0,0,0,0,5,0,0,0,77,6	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	273	149
32397	0,0,0,0,2	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	245	149
32399	0,30,0,0,0	0,0,0,0,0	0,0,0,0,39,0,0,2,0,0,178,0,0,0,225,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	243	149
32400	0,79,2,0,0	0,5,0,0,0	0,0,0,0,484,0,0,0,4,0,362,0,0,0,341,73	0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0	237	149
32401	0,139,2,0,0	0,0,0,0,0	0,0,0,0,601,0,4,2,0,0,459,0,0,0,483,94	0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0	298	149
32402	0,27,0,0,0	0,1,0,0,0	0,0,0,0,42,0,0,0,0,0,85,0,0,0,86,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	231	149
32403	0,111,0,0,0	0,1,0,0,0	0,0,0,0,266,0,2,2,0,0,295,0,0,0,305,37	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	192	149
32404	0,0,0,0,0	0,88,0,0,0	0,0,0,0,32,0,2,0,0,0,45,0,0,0,17,15	0,0,0,0,180,0,2,2,0,0,233,0,0,0,259,25	284	149
