ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
60	0,340,0,0,0	0,676,0,0,0	0,0,0,0,1202,0,0,2,0,2,662,0,0,0,252,9	0,0,0,0,1349,0,0,3,0,4,564,0,0,0,408,0	220	235
62	0,63,6,0,0	0,1,0,0,0	0,0,0,0,167,2,0,0,0,0,235,0,0,0,114,6	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	301	241
63	0,6,0,0,0	0,33,6,0,0	0,0,0,0,0,0,0,0,0,0,39,0,0,0,22,18	0,0,0,0,130,2,0,0,0,0,98,0,0,0,72,1	216	301
64	0,145,0,0,0	0,69,0,0,0	0,0,0,0,218,0,0,0,0,0,423,0,0,0,11,15	0,0,0,0,71,0,0,0,0,0,212,0,0,0,45,14	243	220
65	0,15,0,0,0	0,17,0,0,0	0,0,0,0,41,0,0,2,0,0,61,0,0,0,0,5	0,0,0,0,50,0,0,0,0,0,46,0,0,0,2,0	337	289
67	0,84,4,0,0	0,130,1,0,0	0,0,0,0,705,0,4,4,0,0,462,0,0,0,411,41	0,0,0,0,525,0,0,0,0,0,428,0,0,0,416,8	229	211
68	0,4097,4,0,4	0,920,2,0,0	0,0,0,0,6716,2,0,14,4,0,5110,0,0,0,3132,455	0,0,0,0,1192,0,0,1,0,0,687,0,0,0,574,89	647	230
69	0,2,0,0,2	0,53,0,0,0	0,0,0,0,80,0,0,0,0,0,54,0,0,0,8,3	0,0,0,0,240,0,0,0,0,0,136,0,0,0,27,13	197	301
70	0,128,0,0,0	0,76,0,0,0	0,0,0,0,477,0,0,0,0,0,195,0,0,0,1,10	0,0,0,0,260,0,0,0,0,0,101,0,0,0,5,3	267	212
71	0,2,0,0,0	0,86,0,0,0	0,0,0,0,78,0,0,0,0,0,11,0,0,0,0,0	0,0,0,0,296,0,0,0,0,0,45,0,0,0,8,16	303	220
78	0,16,0,0,0	0,22,0,0,0	0,0,0,0,41,0,0,0,0,0,66,0,0,0,5,6	0,0,0,0,14,0,0,0,0,0,19,0,0,0,5,2	428	296
79	0,0,0,0,0	0,19,0,0,0	0,0,0,0,0,0,0,2,0,0,38,0,0,0,24,1	0,0,0,0,35,0,0,0,0,0,70,0,0,0,14,6	313	428
80	0,13,0,0,0	0,10,0,0,0	0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,1	0,0,0,0,21,0,0,0,0,0,35,0,0,0,3,0	305	313
81	0,26,0,0,2	0,4,0,0,0	0,0,0,0,12,0,0,0,0,0,28,0,0,0,26,0	0,0,0,0,0,0,0,2,0,0,38,0,0,0,24,1	275	305
82	0,5,0,0,0	0,0,0,0,0	0,0,0,0,10,2,0,0,0,0,1,0,0,0,10,2	0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1	219	186
83	0,0,0,0,0	0,77,0,0,0	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,39,0,0,2,0,0,35,0,0,0,6,8	328	377
84	0,31,0,0,0	0,77,0,0,0	0,0,0,0,42,0,0,0,0,0,28,0,0,0,14,7	0,0,0,0,39,0,0,2,0,0,35,0,0,0,6,8	258	377
85	0,69,0,0,0	0,16,0,0,0	0,0,0,0,28,0,0,2,0,0,22,0,0,0,27,5	0,0,0,0,11,0,0,0,0,0,18,0,0,0,10,0	321	210
86	0,155,0,0,0	0,82,0,0,0	0,0,0,0,393,0,0,0,0,0,512,0,0,0,237,4	0,0,0,0,170,0,0,1,0,0,215,0,0,0,107,28	273	219
87	0,152,0,0,0	0,80,0,0,0	0,0,0,0,375,0,0,0,0,0,763,0,0,0,92,24	0,0,0,0,180,0,0,0,0,0,417,0,0,0,50,15	342	319
88	0,152,0,0,0	0,0,0,0,0	0,0,0,0,375,0,0,0,0,0,763,0,0,0,92,24	0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0	342	238
89	0,79,0,0,0	0,147,0,0,0	0,0,0,0,220,0,0,0,0,0,466,0,0,0,34,3	0,0,0,0,369,0,0,0,0,0,432,0,0,0,119,28	319	302
90	0,8,0,0,0	0,147,0,0,0	0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0	0,0,0,0,369,0,0,0,0,0,432,0,0,0,119,28	307	302
91	0,139,0,0,0	0,283,0,0,0	0,0,0,0,346,0,0,0,0,0,709,0,0,0,38,20	0,0,0,0,663,0,0,0,0,0,459,0,0,0,28,0	315	265
92	0,87,0,0,0	0,9,0,0,0	0,0,0,0,125,0,0,0,0,0,70,0,0,0,0,7	0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0	228	220
93	0,0,0,0,0	0,49,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,183,0,0,0,0,0,187,0,0,0,55,3	211	308
94	0,5,0,0,0	0,40,0,0,0	0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0	0,0,0,0,97,0,0,0,0,0,170,0,0,0,7,14	223	247
95	0,0,0,0,0	0,35,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	0,0,0,0,66,0,0,0,0,0,116,0,0,0,7,1	258	247
97	0,50,0,0,0	0,5,0,0,0	0,0,0,0,208,0,0,0,0,0,12,0,0,0,14,2	0,0,0,0,77,0,0,0,0,0,7,0,0,0,0,3	234	240
98	0,4,0,0,0	0,18,0,0,0	0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,61	0,0,0,0,142,0,0,0,0,2,176,0,0,0,194,82	203	374
99	0,82,0,0,0	0,81,0,0,0	0,0,0,0,231,0,0,4,0,0,61,0,0,0,67,4	0,0,0,0,25,2,0,0,0,0,44,0,0,0,70,10	239	294
100	0,95,0,0,0	0,81,0,0,0	0,0,0,0,216,0,0,6,0,0,63,0,0,0,64,4	0,0,0,0,25,2,0,0,0,0,44,0,0,0,70,10	244	294
101	0,5,0,0,0	0,10,0,0,0	0,0,0,0,88,0,0,0,0,0,36,0,0,0,41,9	0,0,0,0,13,0,0,0,0,2,6,0,0,0,15,5	274	240
102	0,1,0,0,0	0,0,0,0,0	0,0,0,0,57,0,0,0,0,0,35,0,0,0,54,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	297	508
105	0,0,0,0,0	0,3,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,2	301	330
106	0,15,0,0,0	0,0,0,0,0	0,0,0,0,67,0,0,0,0,0,11,0,0,0,16,3	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	356	328
107	0,2,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0	341	344
109	0,0,0,0,2	0,0,0,0,0	0,0,0,0,24,2,0,0,2,0,16,0,0,0,40,2	0,0,0,0,102,0,0,0,0,0,80,0,0,0,53,3	241	249
110	0,15,0,0,0	0,21,0,0,0	0,0,0,0,0,0,0,2,0,2,68,0,0,0,21,0	0,0,0,0,23,0,0,0,0,0,55,0,0,0,54,5	219	221
111	0,0,0,0,0	0,43,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,193,6	0,0,0,0,5,0,0,0,0,0,193,0,0,0,65,22	391	221
112	0,0,0,0,0	0,49,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,193,6	0,0,0,0,26,0,0,0,0,0,332,0,0,0,104,21	391	218
115	0,2,0,0,0	0,1,0,0,0	0,0,0,0,63,0,0,2,0,0,72,0,0,0,66,40	0,0,0,0,105,0,0,0,0,0,81,0,0,0,71,111	299	436
116	0,0,0,0,0	0,2,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0	226	299
117	0,12,0,0,0	0,2,0,0,0	0,0,0,0,61,0,0,0,0,0,23,0,0,0,0,8	0,0,0,0,20,0,0,0,0,0,2,0,0,0,5,3	274	314
118	0,12,0,0,0	0,2,0,0,0	0,0,0,0,61,0,0,0,0,0,14,0,0,0,1,6	0,0,0,0,20,0,0,0,0,0,2,0,0,0,5,3	270	314
119	0,2,0,0,0	0,14,0,0,0	0,0,0,0,9,0,0,0,0,0,2,0,0,0,6,2	0,0,0,0,108,0,0,0,0,0,35,0,0,0,0,31	269	494
120	0,8,0,0,0	0,51,4,0,0	0,0,0,0,243,2,0,0,0,0,198,0,0,0,158,22	0,0,0,0,273,0,0,2,0,0,156,0,0,0,249,26	264	281
121	0,3,0,0,0	0,0,0,0,0	0,0,0,0,14,0,0,0,0,0,4,0,0,0,9,20	0,0,0,0,0,2,0,0,0,0,18,0,0,0,15,13	263	323
122	0,101,0,0,0	0,496,0,0,0	0,0,0,0,90,0,0,0,0,2,80,0,0,0,0,1	0,0,0,0,411,0,0,4,0,0,424,0,0,0,71,30	219	360
125	0,25,0,0,0	0,2,0,0,0	0,0,0,0,136,4,0,0,2,0,23,0,0,0,0,0	0,0,0,0,98,0,2,0,0,0,14,0,0,0,0,0	320	284
126	0,22,2,0,0	0,6,0,0,2	0,0,0,0,92,0,0,0,0,0,4,0,0,0,0,0	0,0,0,0,169,0,0,0,0,0,9,0,0,0,0,0	272	320
130	0,2273,6,0,0	0,3102,10,0,4	0,0,0,0,4591,6,0,0,2,0,1401,0,0,0,0,0	0,0,0,0,2569,2,0,0,0,2,859,0,0,0,0,1	321	307
131	0,45,0,0,0	0,24,0,0,0	0,0,0,0,63,0,0,0,0,0,77,0,0,0,16,19	0,0,0,0,21,0,0,0,0,0,33,0,0,0,3,7	333	220
133	0,6,0,0,0	0,0,0,0,0	0,0,0,0,18,0,0,0,0,0,78,0,0,0,28,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4	276	271
134	0,6,0,0,0	0,0,0,0,0	0,0,0,0,18,0,0,0,0,0,78,0,0,0,28,4	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	276	242
138	0,23936,2,0,14	0,18639,0,0,4	0,0,0,0,28600,0,0,15,14,8,29982,0,0,0,10346,661	0,0,0,0,16079,0,0,21,2,0,15777,0,0,0,2602,684	272	336
140	0,5,0,0,0	0,9,0,0,0	0,0,0,0,24,0,0,0,0,0,7,0,0,0,21,0	0,0,0,0,75,0,0,0,0,0,29,0,0,0,162,30	272	260
141	0,0,0,0,0	0,9,0,0,0	0,0,0,0,24,0,0,0,0,0,17,0,0,0,30,0	0,0,0,0,75,0,0,0,0,0,29,0,0,0,162,30	368	260
142	0,1991,0,0,8	0,5425,0,0,2	0,0,0,0,495,0,0,5,0,2,2137,0,0,0,113,148	0,0,0,0,950,0,0,16,0,8,3235,0,0,0,330,290	212	308
143	0,2670,0,0,6	0,1150,0,0,2	0,0,0,0,813,0,0,4,0,6,3639,0,0,0,99,211	0,0,0,0,252,0,0,2,0,0,1061,0,0,0,43,16	308	212
146	0,230,0,0,0	0,72,0,0,0	0,0,0,0,290,0,0,0,0,2,889,0,0,0,0,84	0,0,0,0,78,0,0,0,0,0,208,0,0,0,0,8	535	227
147	0,7,0,0,0	0,0,0,0,0	0,0,0,0,4,0,0,0,0,0,12,0,0,0,2,0	0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1	321	251
148	0,80,0,0,0	0,226,0,0,4	0,0,0,0,135,0,0,0,0,0,242,0,0,0,18,22	0,0,0,0,648,0,0,0,0,0,901,0,0,0,16,28	210	349
149	0,6,0,0,0	0,24295,0,0,8	0,0,0,0,9,0,0,0,0,0,32,0,0,0,0,0	0,0,0,0,32717,0,0,15,14,4,32245,0,0,0,4952,1821	222	215
150	0,6,0,0,0	0,25187,0,0,6	0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0	0,0,0,0,25092,0,0,4,10,2,25744,0,0,0,1023,2613	222	494
151	0,17,0,0,0	0,88,0,0,0	0,0,0,0,20,0,0,0,0,0,15,0,0,0,2,0	0,0,0,0,64,0,0,0,0,0,109,0,0,0,2,3	234	328
152	0,356,0,0,0	0,250,0,0,0	0,0,0,0,594,0,0,0,0,0,990,0,0,0,349,29	0,0,0,0,235,0,0,0,0,0,474,0,0,0,213,12	329	211
155	0,6,0,0,0	0,2,0,0,0	0,0,0,0,116,0,0,0,0,0,65,0,0,0,8,2	0,0,0,0,114,0,0,0,0,0,69,0,0,0,0,2	324	313
156	0,2,0,0,0	0,28,0,0,0	0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0	0,0,0,0,137,0,0,0,0,0,443,0,0,0,0,26	204	205
157	0,5,0,0,0	0,26,0,0,0	0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,5	0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0	402	274
158	0,0,0,0,0	0,67,0,0,0	0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0	0,0,0,0,188,0,0,4,0,0,481,0,0,0,44,12	224	350
159	0,7850,0,0,0	0,12063,0,0,0	0,0,0,0,7321,2,0,11,2,0,8802,0,0,0,4404,370	0,0,0,0,8819,0,0,21,2,4,11910,0,0,0,154,1582	248	273
160	0,9,0,0,0	0,181,0,0,0	0,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0	0,0,0,0,2536,0,0,1,0,4,695,0,0,0,77,12	242	252
161	0,81,0,0,0	0,33,0,0,0	0,0,0,0,215,0,0,0,0,0,84,0,0,0,37,8	0,0,0,0,194,0,0,0,0,0,78,0,0,0,15,5	275	291
162	0,1,0,0,0	0,5,0,0,0	0,0,0,0,8,0,0,0,2,0,17,0,0,0,43,8	0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,4	456	254
