IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,40,0,0,41	0,0,0,0,0	37,0,0,0,39,2,0,14,42,84,69,17,8,0,6,4	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	225	149
11,154,4,0,2512	0,0,0,0,0	102,6,0,4,1399,20,22,28,1711,1881,4265,257,94,0,291,214	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0	215	149
0,205,0,0,1219	0,0,0,0,0	4,0,0,4,1311,2,1,13,430,1307,4874,238,0,0,58,226	0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0	212	149
0,163,0,0,1905	0,0,0,0,1	20,0,1,0,1252,4,0,12,1013,1517,4065,205,7,0,64,495	0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0	200	149
1,159,0,0,1633	0,0,0,0,0	10,0,1,0,1233,2,2,12,903,1308,3545,200,5,0,66,500	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	185	149
4,215,0,0,1999	0,0,0,0,0	21,1,0,0,1707,3,3,14,1156,1600,4366,285,22,0,94,525	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	212	149
3,251,0,0,1837	0,2,0,0,23	37,0,0,0,1804,0,3,23,857,1454,5030,235,2,0,186,245	0,0,0,0,104,0,0,0,21,12,18,3,0,0,0,0	195	149
2,487,0,0,673	0,0,0,0,0	38,0,0,0,1722,0,0,28,184,621,6237,150,13,2,152,128	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	188	149
0,0,0,0,1	0,0,0,0,0	2,0,0,0,28,0,1,0,0,0,0,0,4,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	256	149
0,0,0,0,1	0,0,0,0,1	0,0,0,0,57,0,1,0,0,0,0,0,4,0,0,0	0,0,0,0,0,4,4,0,0,2,0,0,2,0,0,0	256	149
0,0,0,0,1	0,0,0,0,1	0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1	0,0,0,0,0,4,4,0,0,2,0,0,2,0,0,0	185	149
0,2,0,0,6	0,0,0,0,1	0,0,0,0,0,8,9,0,0,8,0,0,4,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	284	149
0,0,0,0,4	0,0,0,0,1	2,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0	4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	224	149
0,0,0,0,1	0,0,0,0,1	1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	293	149
0,0,0,0,2	0,0,0,0,0	4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1	0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0	191	149
0,0,0,0,3	0,0,0,0,0	2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	209	149
0,392,1,1,5670	0,0,0,0,2	10,0,0,2,290,0,0,127,271,2104,1712,65,2,0,52,361	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	209	149
0,930,0,0,5542	0,0,0,0,1	4,0,0,0,443,2,0,235,331,2252,2245,169,4,0,48,133	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	365	149
0,456,0,0,1475	0,0,0,0,0	5,0,0,0,176,2,0,109,51,608,905,70,0,0,21,86	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	176	149
6,797,4,2,1364	0,0,0,0,1	86,0,0,0,425,2,2,169,45,788,1665,107,17,0,92,77	0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0	236	149
0,1056,2,0,4830	0,0,0,0,1	18,0,0,0,542,0,4,170,111,2679,2143,119,0,0,26,124	0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0	308	149
0,581,0,0,2653	0,0,0,0,1	18,0,0,0,245,0,2,63,101,1339,1229,64,4,0,24,70	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	176	149
0,985,1,0,5923	0,0,0,0,0	8,0,0,0,364,0,0,120,440,2298,1753,90,4,0,13,246	0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0	212	149
0,0,0,0,1	0,0,0,0,1	0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	176	149
0,805,0,0,5730	0,0,0,0,4	8,0,0,0,224,0,0,106,510,2081,1375,77,0,0,22,254	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1	176	149
0,995,0,0,6149	0,6,0,0,16	29,0,0,0,376,0,0,121,637,2243,1829,85,4,0,37,276	0,0,0,0,0,0,0,0,3,5,3,1,0,0,0,3	185	149
0,1187,0,0,11950	0,8,0,0,9	52,0,0,0,341,0,0,127,1462,3932,1836,56,4,0,69,236	0,0,0,0,0,0,0,1,2,5,2,0,0,0,2,0	176	149
8,1533,3,0,12370	0,0,0,0,0	125,0,0,0,531,0,7,171,1585,4101,2275,62,30,0,103,249	0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0	203	149
35,974,23,11,3157	0,6,0,0,13	66,4,0,0,297,25,37,54,452,1129,991,41,91,0,91,125	0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0	290	149
0,2654,0,2,3384	0,0,0,0,1	24,0,0,0,386,0,2,71,141,1537,1668,47,2,0,8,58	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	182	149
5,78,6,0,35	3,46,2,0,38	4,0,2,0,99,2,0,1,38,31,50,9,5,0,16,6	1,4,0,0,32,3,10,4,17,40,61,5,0,0,22,2	355	149
9,73,8,3,113	0,0,0,0,0	9,6,0,0,87,7,13,11,126,103,114,9,11,0,59,9	0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0	273	149
