IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,10,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,6	0,0,0,0,9,0,0,0,0,0,8,0,0,0,9,0	982	149
0,33,0,0,0	0,1930,2,0,4	0,0,0,0,37,0,0,0,0,0,14,0,0,0,48,2	0,0,0,0,2411,0,0,0,0,2,3314,0,0,0,617,85	1041	149
0,9,0,0,0	0,0,0,0,0	0,0,0,0,38,0,0,0,0,0,22,0,0,0,0,12	0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0	665	149
0,0,0,0,0	0,20,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	0,0,0,0,241,0,0,0,0,2,321,0,0,0,98,2	153	149
0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0	161	149
0,36,0,0,0	0,9,0,0,0	0,0,0,0,124,0,0,0,0,0,39,0,0,0,15,15	0,0,0,0,43,0,0,0,0,0,27,0,0,0,14,6	166	149
0,21,0,0,0	0,3,0,0,0	0,0,0,0,61,4,0,2,0,0,560,0,0,0,43,50	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	158	149
0,3,0,0,0	0,3,0,0,0	0,0,0,0,47,0,0,0,0,0,68,0,0,0,14,5	0,0,0,0,0,0,0,0,0,0,69,0,0,0,4,5	201	149
0,3,0,0,0	0,21,0,0,0	0,0,0,0,47,0,0,0,0,0,41,0,0,0,14,5	0,0,0,0,61,4,0,2,0,0,533,0,0,0,43,50	192	149
0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0	192	149
0,20,0,0,0	0,27,0,0,0	0,0,0,0,80,0,0,0,0,0,30,0,0,0,0,0	0,0,0,0,23,0,0,0,0,0,74,0,0,0,17,7	296	149
0,26,0,0,0	0,2,0,0,0	0,0,0,0,117,0,0,0,0,0,34,0,0,0,2,15	0,0,0,0,7,0,0,0,0,0,35,0,0,0,4,4	208	149
0,558,0,0,0	0,0,0,0,0	0,0,0,0,1105,0,0,0,0,4,673,0,0,0,86,156	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1232	149
0,534,0,0,0	0,0,0,0,0	0,0,0,0,995,0,0,0,0,4,674,0,0,0,88,145	0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0	1173	149
0,42,0,0,0	0,192,0,0,0	0,0,0,0,29,0,0,0,0,0,42,0,0,0,28,11	0,0,0,0,168,0,0,0,0,0,391,0,0,0,163,31	204	149
0,0,0,0,0	0,32,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,152,0,0,0,0,0,132,0,0,0,25,1	159	149
0,22,0,0,0	0,6,0,0,0	0,0,0,0,68,2,0,0,0,0,109,0,0,0,27,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	171	149
