ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
66	0,12,0,0,0	0,3,0,0,0	0,0,0,0,78,0,0,0,0,0,20,0,0,0,16,27	0,0,0,0,20,0,0,0,0,0,150,0,0,0,0,1	1632	149	1
67	0,2,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3	0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0	439	149	1
68	0,2,0,0,0	0,33,0,0,0	0,0,0,0,30,0,0,0,0,0,8,0,0,0,8,3	0,0,0,0,165,0,0,0,0,0,95,0,0,0,24,5	225	149	1
70	0,86,0,0,0	0,28,0,0,0	0,0,0,0,445,0,0,0,0,0,21,0,0,0,19,6	0,0,0,0,89,0,0,0,0,0,69,0,0,0,10,3	641	149	1
71	0,267,0,0,0	0,103,0,0,0	0,0,0,0,1036,0,0,0,2,0,67,0,0,0,15,7	0,0,0,0,337,0,0,0,0,0,117,0,0,0,2,0	394	149	1
73	0,1,0,0,0	0,2,0,0,0	0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0	2420	149	1
75	0,12,0,0,0	0,1,0,0,0	0,0,0,0,92,0,0,0,0,0,8,0,0,0,32,4	0,0,0,0,156,0,0,0,0,0,21,0,0,0,0,6	1531	149	1
76	0,26,0,0,0	0,82,0,0,0	0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,82,0,0,0,0,0,21,0,0,0,0,1	236	149	1
79	0,0,0,0,0	0,2,0,0,0	0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0	347	149	1
81	0,8,0,0,0	0,259,0,0,0	0,0,0,0,56,0,0,0,0,0,16,0,0,0,41,8	0,0,0,0,1571,0,0,0,0,0,1423,0,0,0,117,20	1560	149	1
83	0,2,0,0,0	0,99,0,0,0	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2	0,0,0,0,150,0,0,0,0,0,83,0,0,0,1,2	264	149	1
84	0,9,0,0,0	0,262,0,0,0	0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,0	0,0,0,0,225,0,0,0,0,0,362,0,0,0,9,18	235	149	1
85	0,0,0,0,0	0,2,0,0,0	0,0,0,0,6,0,0,0,0,0,1,0,0,0,15,10	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	785	149	1
86	0,4,0,0,0	0,10,0,0,0	0,0,0,0,12,0,0,0,0,0,1,0,0,0,10,1	0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,1	443	149	1
87	0,476,8,0,2	0,30,0,0,0	0,0,0,0,2652,16,2,8,6,2,388,0,0,0,1376,287	0,0,0,0,148,0,0,0,0,0,186,0,0,0,57,4	2924	149	1
88	0,476,8,0,2	0,43,0,0,0	0,0,0,0,2669,16,2,8,6,2,392,0,0,0,1376,287	0,0,0,0,211,0,0,0,0,0,277,0,0,0,45,1	2927	149	1
89	0,296,0,0,0	0,70,0,0,0	0,0,0,0,427,0,0,0,0,4,79,0,0,0,48,13	0,0,0,0,68,0,0,0,0,0,17,0,0,0,29,2	448	149	1
90	0,463,0,0,0	0,69,0,0,0	0,0,0,0,678,0,0,0,0,0,512,0,0,0,24,26	0,0,0,0,22,0,0,0,0,0,47,0,0,0,0,2	467	149	1
91	0,1,0,0,0	0,2,0,0,0	0,0,0,0,31,0,0,0,0,0,5,0,0,0,31,3	0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0	395	149	1
92	0,1,0,0,0	0,0,0,0,0	0,0,0,0,32,0,0,0,0,0,17,0,0,0,40,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	481	149	1
94	0,2,0,0,0	0,0,0,0,0	0,0,0,0,22,0,0,0,0,0,22,0,0,0,22,29	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	600	149	1
96	0,69,0,0,0	0,19,0,0,0	0,0,0,0,146,0,0,0,0,0,23,0,0,0,67,29	0,0,0,0,23,0,0,0,0,0,41,0,0,0,6,1	823	149	1
97	0,72,0,0,0	0,28,0,0,0	0,0,0,0,115,0,2,0,0,0,58,0,0,0,203,35	0,0,0,0,53,0,0,0,0,0,40,0,0,0,12,4	2437	149	1
