ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
45366	0,27,0,0,0	0,223,0,0,0	0,0,0,0,101,0,2,0,0,2,95,0,0,0,74,8	0,0,0,0,392,0,0,2,0,2,471,0,0,0,10,34	630	149	1	1.0	NA,0.028,NA,NA,NA	NA,NA,NA,NA,0.057,NA,1.0,0.0,NA,0.191,0.046,NA,NA,NA,0.636,0.053	-0.255
45368	0,0,0,0,0	0,3,0,0,0	0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	265	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	-1.0
45376	0,25,0,0,0	0,6,0,0,0	0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	294	149	1	1.0	NA,0.679,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	-0.321
45377	0,37,0,0,0	0,3,0,0,0	0,0,0,0,12,0,0,0,0,0,2,0,0,0,4,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	233	149	1	1.0	NA,0.887,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.113
45388	0,175,0,0,0	0,2,0,0,0	0,0,0,0,253,0,0,0,0,0,48,0,0,0,20,20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	231	149	1	1.0	NA,0.983,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	-0.017
45389	0,106,0,0,0	0,55,0,0,0	0,0,0,0,161,0,0,0,0,0,20,0,0,0,5,5	0,0,0,0,144,0,0,0,0,0,13,0,0,0,8,9	214	149	1	1.0	NA,0.573,NA,NA,NA	NA,NA,NA,NA,0.438,NA,NA,NA,NA,NA,0.517,NA,NA,NA,0.303,0.279	0.189
45390	0,89,0,0,0	0,0,0,0,0	0,0,0,0,186,0,0,0,0,0,47,0,0,0,27,12	0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0	266	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.84,NA,NA,NA,1.0,1.0	0.04
45391	0,23,0,0,0	0,5,0,0,0	0,0,0,0,7,0,0,0,0,0,6,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0	272	149	1	1.0	NA,0.716,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.451,NA,NA,NA,0.268,NA	0.143
45392	0,44,0,0,0	0,18,0,0,0	0,0,0,0,104,0,0,0,0,0,59,0,0,0,25,26	0,0,0,0,29,0,0,0,0,0,10,0,0,0,21,22	414	149	1	1.0	NA,0.468,NA,NA,NA	NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,0.68,NA,NA,NA,0.3,0.298	0.008
45393	0,36,0,0,0	0,18,0,0,0	0,0,0,0,86,0,0,0,0,0,38,0,0,0,21,26	0,0,0,0,29,0,0,0,0,0,10,0,0,0,21,22	318	149	1	1.0	NA,0.484,NA,NA,NA	NA,NA,NA,NA,0.582,NA,NA,NA,NA,NA,0.64,NA,NA,NA,0.319,0.356	0.01
