IncLevel1	IncLevel2	IncLevelDifference
0.489	0.411,0.57	-0.001
0.463	0.536,0.557	-0.083
0.749	0.767,0.727	0.002
1.0	0.0,NA	1.0
0.616	0.077,0.535	0.31
0.183	0.139,0.105	0.061
0.365	0.295,0.422	0.007
0.534	0.567,0.604	-0.051
0.277	0.383,0.322	-0.076
0.649	0.607,0.596	0.048
0.321	0.582,0.338	-0.139
0.936	0.97,0.932	-0.015
0.968	0.958,0.964	0.007
0.674	0.548,0.635	0.083
0.983	0.878,0.912	0.088
0.881	0.902,0.82	0.02
0.535	0.519,0.513	0.019
0.538	0.522,0.512	0.021
0.519	0.557,0.471	0.005
0.403	0.442,0.382	-0.009
0.458	0.497,0.464	-0.023
0.399	0.431,0.428	-0.03
0.014	0.006,0.007	0.007
0.363	0.198,0.473	0.027
0.915	1.0,0.727	0.052
0.551	0.634,0.585	-0.058
0.986	0.979,0.99	0.002
0.401	0.761,0.443	-0.201
0.805	1.0,0.943	-0.166
0.628	0.382,0.435	0.22
0.077	NA,0.061	0.016
0.276	0.519,0.179	-0.073
0.499	0.277,0.266	0.227
1.0	0.24,0.759	0.5
1.0	0.335,0.905	0.38
1.0	NA,0.0	1.0
1.0	1.0,0.962	0.019
0.982	1.0,1.0	-0.018
0.125	0.755,0.285	-0.395
0.39	0.189,0.331	0.13
0.8	0.572,0.572	0.228
0.608	0.557,0.512	0.074
0.622	0.6,0.532	0.056
0.967	0.938,0.962	0.017
0.445	0.273,0.398	0.109
0.006	0.0,0.0	0.006
0.479	0.535,0.75	-0.164
0.494	0.445,0.538	0.002
0.537	0.426,0.576	0.036
0.5	0.491,0.521	-0.006
0.982	0.964,1.0	0.0
0.383	0.309,0.417	0.02
0.176	0.162,0.176	0.007
0.383	0.0,0.771	-0.003
0.891	1.0,0.644	0.069
0.434	0.23,0.659	-0.011
0.0	0.0,0.324	-0.162
0.278	0.66,0.331	-0.218
0.46	0.736,0.424	-0.12
0.539	0.753,0.466	-0.071
0.0	0.207,0.0	-0.103
0.47	0.411,0.487	0.021
0.007	0.002,0.005	0.004
0.589	0.488,0.557	0.067
0.424	0.337,0.415	0.048
0.222	0.114,0.228	0.051
0.307	0.055,0.141	0.209
0.232	0.188,0.256	0.01
0.399	0.565,0.532	-0.149
0.291	0.361,0.9	-0.34
0.361	0.693,0.0	0.015
0.89	0.904,0.944	-0.034
0.935	0.806,1.0	0.032
0.96	1.0,1.0	-0.04
0.004	0.0,0.003	0.003
0.0	0.0,0.004	-0.002
0.757	0.848,0.775	-0.054
0.461	0.363,0.429	0.065
0.568	0.51,0.533	0.046
0.736	0.677,0.742	0.026
0.542	0.57,0.545	-0.015
0.624	0.52,0.819	-0.045
0.347	0.839,0.349	-0.247
0.6	0.815,0.491	-0.053
0.537	0.657,0.682	-0.132
0.328	0.345,0.388	-0.038
1.0	1.0,0.775	0.113
0.56	1.0,0.911	-0.395
0.667	1.0,0.9	-0.283
0.284	0.353,0.27	-0.028
0.166	0.367,0.173	-0.104
0.922	0.628,0.783	0.217
0.001	0.005,0.003	-0.003
0.456	0.371,0.453	0.044
0.997	1.0,1.0	-0.003
0.727	0.694,0.55	0.105
0.555	0.604,0.607	-0.05
0.326	0.266,0.331	0.028
