IncLevel1	IncLevel2	IncLevelDifference
NA,0.173,NA,NA,0.146	NA,NA,NA,NA,0.326,NA,NA,0.495,0.53,0.138,0.094,0.318,NA,NA,NA,0.503	-0.184
NA,NA,NA,NA,0.214	0.333,1.0,NA,0.0,0.147,NA,NA,0.077,0.462,0.115,0.414,NA,1.0,NA,NA,0.117	-0.153
1.0,0.301,NA,NA,0.358	1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,0.188,0.308,1.0,NA,1.0,1.0,1.0	-0.331
NA,NA,1.0,1.0,0.413	0.526,1.0,NA,NA,1.0,1.0,1.0,0.214,0.676,0.483,0.523,1.0,0.388,NA,1.0,0.526	0.086
1.0,0.274,NA,NA,0.082	0.24,1.0,NA,NA,0.271,0.0,0.445,0.159,0.302,0.13,0.072,0.118,0.865,0.0,0.218,0.119	0.171
0.201,0.0,0.174,0.031,0.025	0.067,0.031,1.0,1.0,0.119,0.227,0.274,0.015,0.158,0.039,0.013,0.071,0.357,1.0,0.091,0.201	-0.205
NA,0.082,0.192,1.0,0.109	0.073,NA,NA,NA,0.274,1.0,1.0,0.027,0.494,0.075,0.012,0.0,1.0,1.0,0.372,0.047	-0.068
1.0,1.0,1.0,1.0,0.868	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.961,1.0,0.782,1.0,1.0,1.0,1.0,1.0	-0.01
0.419,0.23,0.317,0.531,0.047	0.157,0.171,1.0,1.0,0.29,0.436,0.507,0.133,0.222,0.077,0.036,0.149,0.277,0.171,0.488,0.389	-0.035
NA,0.018,NA,NA,0.038	0.126,NA,NA,0.0,0.014,1.0,NA,0.031,0.086,0.042,0.021,0.017,0.103,0.0,0.096,0.25	-0.109
0.502,0.392,0.349,0.17,0.067	0.423,0.27,0.683,0.766,0.53,0.817,0.648,0.209,0.224,0.144,0.142,0.342,0.714,0.526,0.144,0.175	-0.126
NA,0.0,NA,NA,0.016	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.01,0.012,1.0,1.0,NA,1.0,NA	-0.709
NA,0.215,NA,1.0,0.164	1.0,NA,NA,1.0,0.263,1.0,1.0,1.0,1.0,0.039,0.01,0.132,1.0,NA,1.0,0.739	-0.247
