IncLevel1	IncLevel2	IncLevelDifference
0.99	1.0,1.0	-0.01
0.218	0.182,0.157	0.049
0.279	0.182,0.122	0.127
0.374	0.703,0.322	-0.138
0.259	0.561,0.293	-0.168
0.939	0.641,0.933	0.152
0.829	0.88,0.912	-0.067
0.82	0.796,0.753	0.045
1.0	0.531,0.362	0.553
0.0	NA,0.192	-0.192
0.0	0.0,0.05	-0.025
0.038	0.0,0.126	-0.025
0.735	0.702,0.624	0.072
1.0	1.0,0.568	0.216
1.0	1.0,0.814	0.093
0.164	0.34,0.267	-0.139
0.694	0.769,0.686	-0.034
0.947	0.769,0.779	0.173
0.004	0.007,0.005	-0.002
0.015	0.011,0.006	0.006
1.0	1.0,0.606	0.197
0.121	0.171,0.067	0.002
0.969	1.0,0.943	-0.003
0.047	0.064,0.025	0.003
1.0	1.0,0.96	0.02
1.0	1.0,0.911	0.044
1.0	1.0,1.0	0.0
0.335	0.363,0.11	0.099
1.0	1.0,0.968	0.016
1.0	0.856,1.0	0.072
0.0	0.008,0.007	-0.007
0.921	0.874,0.949	0.01
0.094	0.361,0.028	-0.101
0.901	1.0,0.823	-0.01
0.958	1.0,0.987	-0.036
1.0	0.904,1.0	0.048
0.597	1.0,1.0	-0.403
0.972	1.0,1.0	-0.028
0.842	1.0,0.861	-0.089
1.0	0.8,1.0	0.1
0.019	0.163,0.011	-0.068
0.125	0.049,0.059	0.071
0.183	0.829,0.189	-0.326
0.482	0.381,0.293	0.145
0.542	0.644,0.641	-0.101
0.008	0.03,0.019	-0.017
0.723	1.0,0.0	0.223
1.0	0.883,0.151	0.483
0.976	0.976,0.992	-0.008
0.988	1.0,1.0	-0.012
0.025	0.069,0.028	-0.024
0.111	0.119,0.041	0.031
0.973	0.861,0.991	0.047
0.0	0.064,0.039	-0.052
0.952	0.969,0.963	-0.014
0.762	0.935,0.783	-0.097
0.074	0.439,0.29	-0.29
0.446	0.434,0.523	-0.033
0.05	0.053,0.091	-0.022
0.388	0.544,0.255	-0.012
0.0	0.016,0.0	-0.008
0.952	1.0,NA	-0.048
1.0	0.978,1.0	0.011
1.0	1.0,0.986	0.007
0.979	1.0,1.0	-0.021
0.011	0.01,0.003	0.004
0.013	0.096,0.02	-0.045
0.915	1.0,1.0	-0.085
0.738	1.0,0.81	-0.167
0.522	0.573,0.54	-0.034
0.823	1.0,0.891	-0.123
1.0	1.0,0.406	0.297
0.077	0.11,0.031	0.006
0.581	0.847,0.117	0.099
0.943	1.0,0.984	-0.049
0.0	0.132,0.029	-0.081
0.003	0.007,0.011	-0.006
0.996	0.993,0.995	0.002
0.867	0.916,0.87	-0.026
1.0	1.0,0.982	0.009
0.02	0.085,0.008	-0.026
0.993	1.0,1.0	-0.007
0.012	0.014,0.018	-0.004
0.232	0.659,0.367	-0.281
0.0	NA,0.059	-0.059
1.0	0.0,NA	1.0
0.009	0.03,0.044	-0.028
1.0	1.0,0.925	0.037
0.532	0.443,0.334	0.144
0.726	0.732,0.666	0.027
0.325	0.668,0.258	-0.138
1.0	0.591,1.0	0.205
0.0	0.048,0.029	-0.038
0.044	0.237,0.089	-0.119
0.91	0.814,0.875	0.066
0.0	0.36,0.0	-0.18
0.0	1.0,0.0	-0.5
0.028	0.101,0.087	-0.066
0.646	NA,0.116	0.53
1.0	0.234,0.263	0.752
0.404	0.17,0.223	0.208
0.033	0.064,0.061	-0.029
0.017	0.054,0.011	-0.015
1.0	0.621,1.0	0.19
1.0	1.0,0.889	0.055
0.837	1.0,1.0	-0.163
0.68	1.0,1.0	-0.32
0.415	1.0,0.854	-0.512
0.065	0.083,0.061	-0.007
0.103	0.198,0.073	-0.033
1.0	1.0,0.983	0.008
0.99	1.0,1.0	-0.01
0.365	1.0,0.0	-0.135
1.0	0.656,1.0	0.172
