ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
52065	1	5934	0	643	337	149	1	1.0	0.0	0.0	0.0
52066	3	51	18	96	334	149	0.0267618939486	0.05489944769262174	0.026	0.077	-0.051
52070	55	0	310	9	247	149	0.035022323725	0.06880115528473857	1.0	0.954	0.046
52073	216	16	98	0	270	149	0.000238156651442	0.0011788782061918762	0.882	1.0	-0.118
52075	90	0	317	15	258	149	0.00267372184041	0.008383965599308716	1.0	0.924	0.076
52076	261	9	319	12	260	149	0.8058745236	0.9486854635635575	0.943	0.938	0.005
52077	752	17	766	36	479	149	0.0203363357135	0.04355642713814215	0.932	0.869	0.063
52081	32	7	298	0	257	149	3.69404303813e-07	5.201359868505837e-06	0.726	1.0	-0.274
52088	123	11	531	5	293	149	3.80736426723e-05	0.00025483845921311097	0.85	0.982	-0.132
52091	41	4	238	0	358	149	0.000736896146203	0.002968257354797385	0.81	1.0	-0.19
52094	18	0	89	8	206	149	0.0106483702973	0.025601272404139355	1.0	0.889	0.111
52102	108	6	169	0	380	149	0.00113758324655	0.004235903457677218	0.876	1.0	-0.124
52103	61	5	165	0	223	149	0.00171164220072	0.005870110030014164	0.891	1.0	-0.109
52104	1	69	0	136	247	149	1	1.0	0.009	0.0	0.009
52105	1	0	0	6	261	149	2.91052691945e-05	0.00020328601170093919	1.0	0.0	1.0
52108	97	3	362	0	194	149	0.28553838937	0.41158702599538916	0.961	1.0	-0.039
52111	4	491	19	999	386	149	1	1.0	0.003	0.007	-0.004
52112	27	6	37	8	264	149	0.976390107824	1.0	0.717	0.723	-0.006
52113	24	259	37	731	264	149	0.0625969500873	0.11275858290547214	0.05	0.028	0.022
52114	31	259	67	731	269	149	0.365801914337	0.5049972877339001	0.062	0.048	0.014
52132	1	31	7	91	262	149	0.179013328886	0.27837906013232744	0.018	0.042	-0.024
52133	0	5	2	2	288	149	0.0180955377878	0.03951999806876943	0.0	0.341	-0.341
52139	0	5	2	2	205	149	0.0114267593024	0.027082480301661827	0.0	0.421	-0.421
52183	23	0	938	7	366	149	0.419438238924	0.5662429585932651	1.0	0.982	0.018
52185	9	0	42	10	310	149	0.00207804857541	0.006868807886681221	1.0	0.669	0.331
52187	11	0	126	34	235	149	0.00102730797955	0.0038999791104700914	1.0	0.701	0.299
52188	2	8	0	68	305	149	0.239660676722	0.3572488323308879	0.109	0.0	0.109
52192	4190	47	62	0	280	149	0.159221725016	0.2515145415440966	0.979	1.0	-0.021
52194	639	5	30	0	339	149	0.490623885658	0.6450434769188906	0.983	1.0	-0.017
52195	303	13	5	0	308	149	0.0380317306676	0.0737558711976857	0.919	1.0	-0.081
52204	2	0	198	13	341	149	0.0240750913689	0.05021717701435527	1.0	0.869	0.131
52205	5	0	23	34	230	149	0.000120948064365	0.0006716484360478813	1.0	0.305	0.695
52206	5	4	11	37	230	149	0.0806948474487	0.1400724534965106	0.447	0.161	0.286
52237	0	271	4	822	265	149	1	1.0	0.0	0.003	-0.003
52243	216	0	1300	4	264	149	1	1.0	1.0	0.995	0.005
52244	309	4	1955	0	264	149	0.472140587212	0.6248130383819079	0.978	1.0	-0.022
52248	0	93	55	655	384	149	0.00153484456516	0.0053644880719619925	0.0	0.032	-0.032
52257	71	26	261	33	225	149	0.00139233085895	0.004969661989558607	0.644	0.84	-0.196
52258	10	50	10	152	230	149	0.0337670162055	0.06671236625123536	0.115	0.041	0.074
52260	3	0	101	16	187	149	0.0141406595427	0.03222093724401674	1.0	0.834	0.166
52263	0	4	3	101	270	149	0.685254220271	0.8388825469424062	0.0	0.016	-0.016
52269	1368	0	2331	4	220	149	1	1.0	1.0	0.997	0.003
52270	516	2	535	2	224	149	1	1.0	0.994	0.994	0.0
52273	0	4	23	32	257	149	0.00167136500855	0.005755264201524708	0.0	0.294	-0.294
52274	8	0	64	7	331	149	0.00859223726774	0.021491749284782615	1.0	0.805	0.195
52283	10	113	0	160	338	149	0.00417654073815	0.012021879215177484	0.038	0.0	0.038
52284	1	85	0	250	288	149	1	1.0	0.006	0.0	0.006
52287	2437	3	789	0	253	149	1	1.0	0.998	1.0	-0.002
52288	1696	44	591	0	258	149	1.75203071143e-05	0.00013307269822907932	0.957	1.0	-0.043
52289	172	324	49	295	245	149	1.76905041172e-07	2.7789434599524474e-06	0.244	0.092	0.152
52298	652	6	763	0	269	149	0.584426923786	0.7404837633452392	0.984	1.0	-0.016
52300	47	131	103	210	268	149	0.198841948307	0.30485166593645185	0.166	0.214	-0.048
52301	17	131	31	210	272	149	0.675322463131	0.8302830306456845	0.066	0.075	-0.009
52304	14154	2	26350	0	250	149	1	1.0	1.0	1.0	0.0
52305	7283	2	13714	0	349	149	1	1.0	0.999	1.0	-0.001
52306	7226	2	13624	0	361	149	1	1.0	0.999	1.0	-0.001
52313	173	5	138	9	308	149	0.141189757595	0.22671456794693073	0.944	0.881	0.063
52321	93	2	1002	26	320	149	0.542947224032	0.6976470182186583	0.956	0.947	0.009
52327	5	16	109	123	274	149	0.0243074634607	0.05065887669115792	0.145	0.325	-0.18
52328	30	0	281	6	231	149	0.150266024894	0.23907855946608259	1.0	0.968	0.032
52329	321	9	870	11	243	149	0.128800621081	0.20951976366987568	0.956	0.98	-0.024
52343	0	7	5	0	239	149	8.73892705977e-08	1.5204154624268149e-06	0.0	1.0	-1.0
52348	65	0	99	27	333	149	1.11872993092e-07	1.8666933831595053e-06	1.0	0.621	0.379
52349	1069	1	931	0	2886	149	0.48763710704	0.6415544754010456	0.982	1.0	-0.018
52371	471	3	1801	0	2999	149	0.0176088907609	0.038660381694387895	0.886	1.0	-0.114
52375	0	32	6	108	250	149	0.110756820676	0.18403887610327893	0.0	0.032	-0.032
52376	57	1	191	0	298	149	0.307659428658	0.43723499112679753	0.966	1.0	-0.034
52380	20	0	28	1	272	149	0.249446385006	0.368929253535884	1.0	0.939	0.061
52383	103	0	139	9	192	149	0.00179983508572	0.00611124904686629	1.0	0.923	0.077
52388	62	14	336	35	199	149	0.0577640127024	0.10533320653786753	0.768	0.878	-0.11
52395	294	0	1038	8	251	149	0.917530629289	1.0	1.0	0.987	0.013
52396	154	4	469	0	263	149	0.091117771481	0.1554901510270471	0.956	1.0	-0.044
52397	198	2	610	0	303	149	0.529180210388	0.6861986194059544	0.98	1.0	-0.02
52398	47	0	367	5	274	149	0.27382437571	0.3976026000870639	1.0	0.976	0.024
52399	10	4	228	13	277	149	0.0197932199462	0.04256094610653721	0.574	0.904	-0.33
52400	2	0	56	4	295	149	0.0274947661435	0.05614199165030916	1.0	0.876	0.124
52401	1	1	0	32	213	149	0.16332682122	0.2571939264674905	0.412	0.0	0.412
52402	4	1	91	32	459	149	0.669553314145	0.8248558132599259	0.565	0.48	0.085
52403	2	1	70	32	337	149	0.866400278453	1.0	0.469	0.492	-0.023
52448	1	18	0	144	309	149	0.35467600425	0.49265464119439895	0.026	0.0	0.026
52482	3	0	54	20	318	149	0.00391908104915	0.011415703987977682	1.0	0.559	0.441
52485	8	3	8	21	450	149	0.0119336531885	0.02809497885119111	0.469	0.112	0.357
52527	3	0	28	32	351	149	0.00114411291223	0.0042519987237926915	1.0	0.271	0.729
52536	2	0	0	12	245	149	4.72766766535e-06	4.4211829433553335e-05	1.0	0.0	1.0
52540	0	2	14	54	353	149	0.0249504499704	0.051749533652025684	0.0	0.099	-0.099
52541	12	12	6	0	252	149	0.000204308448449	0.0010384985202885005	0.372	1.0	-0.628
52542	28	12	36	0	290	149	2.66521638181e-06	2.729753520876545e-05	0.545	1.0	-0.455
52543	45	0	90	4	257	149	0.0464494466716	0.08752533051984547	1.0	0.929	0.071
52546	26	3	89	15	274	149	0.449183232825	0.5995617212644606	0.825	0.763	0.062
52551	2	6	143	0	227	149	2.26617502541e-10	9.291276919978959e-09	0.18	1.0	-0.82
52552	2	0	74	12	227	149	0.0133506095418	0.030728007689832065	1.0	0.802	0.198
52557	57	0	123	13	320	149	0.000306883022131	0.0014457888221382882	1.0	0.815	0.185
52559	4	0	20	22	251	149	0.000520565127074	0.0022339602283971516	1.0	0.351	0.649
52568	1	34	0	179	379	149	1	1.0	0.011	0.0	0.011
52574	70	0	210	11	347	149	0.0027022480646	0.008455897628018103	1.0	0.891	0.109
52576	73	0	214	11	363	149	0.00249919611316	0.007952021746842878	1.0	0.889	0.111
52593	233	298	220	806	557	149	8.71640926103e-09	2.188500339460743e-07	0.173	0.068	0.105
52594	65	298	43	806	355	149	1.70128208188e-08	3.872381159733521e-07	0.084	0.022	0.062
