IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
18	70	69,23	29,58	1423	149
0	2	10,0	6,27	240	149
8	96	7,9	64,140	224	149
3	169	10,8	64,275	225	149
22	109	70,28	183,191	1413	149
11	558	32,9	166,465	395	149
3	77	41,13	75,88	403	149
24	417	115,82	404,810	298	149
2	8	49,31	17,37	230	149
289	3	23,66	0,0	593	149
164	593	22,34	16,135	236	149
7	5	17,9	4,1	239	149
6	5	17,9	1,10	236	149
21	16	77,23	29,16	1154	149
7	19	34,37	41,25	326	149
18	17	47,23	28,30	353	149
78	3	115,53	1,4	852	149
62	4	73,32	2,8	535	149
3	33	8,2	21,32	283	149
16	11	24,14	1,20	402	149
4	327	25,10	279,542	285	149
10	1	19,15	0,0	459	149
35	234	44,67	184,354	238	149
4	41	5,0	9,14	259	149
9	22	4,3	2,14	652	149
3	12	0,0	0,3	262	149
7	22	13,1	9,12	267	149
7	35	14,1	4,24	275	149
27	417	35,14	69,186	246	149
34	117	42,19	15,38	249	149
24	2	11,5	0,0	385	149
26	1504	16,6	20,182	478	149
134	1296	11,19	26,165	294	149
0	60	6,4	26,77	239	149
7	1	35,11	3,1	380	149
4	30	2,4	7,47	263	149
3	61	10,0	8,19	790	149
36	374	70,55	223,498	234	149
113	2	155,174	2,2	258	149
13	596	32,11	444,664	237	149
36	23	27,24	19,56	448	149
4	142	28,17	194,194	263	149
6	115	7,5	56,195	232	149
6	110	12,14	66,174	219	149
61	111	179,82	59,218	1897	149
6	124	14,10	104,164	223	149
15	120	82,44	69,221	229	149
2	19	25,4	78,75	223	149
7	105	18,20	22,98	252	149
66	11	20,63	6,9	372	149
1	152	1,3	47,149	297	149
169	64	375,141	69,114	806	149
261	1	429,329	2,3	305	149
6	286	14,4	120,275	259	149
0	8	6,1	1,18	404	149
151	74	34,353	0,217	484	149
169	25	34,448	0,77	550	149
59	0	83,108	0,3	1304	149
59	154	83,108	43,230	1323	149
58	3781	26,66	1507,3666	233	149
849	0	378,881	2,1	279	149
0	26	3,3	0,37	248	149
0	15	0,4	0,27	253	149
4	2	9,1	0,0	507	149
2	1	4,0	0,0	314	149
4	0	8,3	0,1	738	149
136	1	26,97	0,0	374	149
4942	2	2885,4632	2,1	266	149
2	31	5,8	4,44	258	149
2	14	7,5	11,23	245	149
6	130	14,2	65,93	289	149
37	96	196,69	156,225	412	149
10	3	48,32	0,18	269	149
63	4	287,81	0,1	2985	149
934	31	354,995	12,26	444	149
4	0	54,14	6,1	539	149
4	11	56,15	13,13	550	149
2	142	2,0	97,240	244	149
63	1127	551,137	1335,1850	1096	149
11	99	2,1	1,14	243	149
48	162	16,23	6,24	1201	149
95	151	11,20	0,29	353	149
29	98	54,13	70,85	652	149
6	142	5,14	68,110	229	149
47	336	39,23	58,258	1507	149
13	315	13,4	64,234	236	149
2	0	76,14	5,8	579	149
3	73	15,0	169,213	233	149
5	109	25,5	53,116	246	149
22	83	54,28	45,117	776	149
1	77	9,2	41,100	242	149
1	10	9,3	5,12	245	149
30	72	74,45	104,111	238	149
34	0	88,56	0,2	249	149
4	2	45,2	0,1	1599	149
7	112	2,6	5,88	217	149
43	241	43,15	32,143	457	149
4	232	8,5	48,133	423	149
1	52	2,4	32,49	238	149
62	0	133,76	1,0	857	149
34	311	101,43	245,408	840	149
26	3	57,32	9,9	493	149
8	250	14,13	71,184	289	149
401	43	149,240	7,26	728	149
7	129	10,9	69,158	252	149
180	188	273,136	111,198	812	149
11	90	21,27	40,99	594	149
308	1	319,451	0,0	1037	149
13	109	51,2	116,186	235	149
11	162	38,21	109,272	324	149
6	63	16,15	51,68	235	149
5	111	41,6	71,105	232	149
2	87	7,0	89,81	223	149
10	41	51,15	24,28	831	149
176	747	347,108	361,901	240	149
33	73	56,40	71,79	466	149
20	5	9,29	1,6	224	149
3	105	2,3	5,205	236	149
9	56	32,13	30,63	377	149
39	64	144,49	49,94	987	149
71	2	162,107	8,1	1039	149
7	49	67,17	58,59	469	149
648	5	237,853	1,6	480	149
490	15	185,584	2,3	370	149
5	0	19,12	2,3	1004	149
0	22	14,12	37,112	336	149
13	102	114,17	377,256	270	149
15	138	95,17	466,266	231	149
0	3	24,0	13,19	260	149
46	4927	22,22	2193,3878	398	149
39	302	35,7	35,65	505	149
83	119	3,4	1,0	597	149
7	265	56,12	268,304	378	149
0	134	20,5	92,223	255	149
27	75	65,20	44,100	384	149
9	4	16,6	0,5	236	149
3	4	15,5	7,16	339	149
0	20	24,2	56,25	249	149
1	10	1,13	30,27	269	149
1	17	23,2	41,40	255	149
9	174	59,12	93,174	877	149
123	930	116,142	145,844	1747	149
11	52	6,16	3,71	364	149
4	32	2,8	9,16	290	149
21	346	35,22	129,340	447	149
3	11	8,2	2,6	232	149
4	0	8,2	0,5	236	149
31	109	92,31	42,106	518	149
21	101	49,18	30,95	965	149
2	109	37,7	3,91	1127	149
1644	2	978,1998	1,1	1879	149
40	2	23,25	0,1	618	149
32	33	22,13	3,65	583	149
0	179	20,14	53,165	384	149
45	229	99,48	106,205	1623	149
9	267	31,20	138,297	508	149
71	10	91,82	5,3	246	149
4	123	23,4	37,155	232	149
91	1714	234,190	1349,2400	400	149
6	96	33,7	113,121	228	149
100	494	153,63	460,800	252	149
17	2	46,29	0,0	1217	149
18	2	46,29	0,1	1224	149
22	3155	48,34	409,4059	1275	149
233	18	83,348	2,10	1282	149
4	5951	24,5	2184,6386	244	149
11	600	11,21	38,723	388	149
21	801	104,25	92,810	2081	149
23	588	15,13	81,606	217	149
166	273	154,152	37,285	2209	149
168	83	119,120	40,43	1448	149
454	703	140,638	204,1326	445	149
6	0	26,12	0,2	1107	149
12	411	36,30	113,413	1329	149
4	42	16,11	106,125	233	149
163	0	18,191	6,0	308	149
168	16	18,194	3,5	313	149
55	594	115,36	355,612	232	149
7	232	7,11	16,475	242	149
38	1	9,52	0,4	251	149
10	287	1,16	58,309	238	149
50	466	25,6	32,83	587	149
6	684	5,3	79,144	223	149
172	671	60,37	37,109	379	149
31	108	27,21	64,64	215	149
56	189	71,55	75,146	334	149
17	42	4,18	0,28	219	149
50	32	8,40	0,33	254	149
1	102	1,10	4,79	271	149
34	314	52,27	110,334	220	149
12	12	42,12	13,43	598	149
7	14	42,14	39,32	370	149
24	40	93,22	20,38	1116	149
61	5	77,247	2,2	1054	149
24	35	125,41	22,53	1388	149
717	55	169,208	10,34	687	149
683	131	160,197	22,66	667	149
157	266	63,47	81,117	753	149
13	3407	32,14	3353,3822	246	149
48	81	82,59	71,95	522	149
37	7	81,55	11,5	1218	149
0	1	8,0	0,1	1121	149
13	652	12,9	315,630	265	149
25	0	65,19	1,2	286	149
12	3	13,23	0,1	357	149
21	123	23,27	51,126	285	149
47	529	92,41	271,535	393	149
26	59	70,49	43,88	1623	149
29	86	13,12	52,109	385	149
162	1	59,153	0,1	281	149
13	553	52,47	261,990	302	149
33	878	66,64	400,1273	223	149
67	1232	133,84	772,1940	488	149
58	2	131,72	1,3	481	149
86	0	171,112	3,1	1256	149
40	1502	70,67	990,2175	825	149
88	0	254,136	2,0	1918	149
18	1260	97,42	789,1771	726	149
72	929	316,179	563,1418	1980	149
177	1	548,399	0,1	2732	149
110	868	263,232	583,1305	825	149
262	0	794,545	1,0	3015	149
107	1308	269,190	943,1976	347	149
196	2	510,379	4,0	1113	149
356	0	211,389	0,1	1401	149
0	2	0,1	0,0	321	149
12	48	98,9	75,60	765	149
4	13	25,10	31,71	225	149
2	111	13,5	104,194	260	149
0	85	18,4	95,161	264	149
3	3	19,6	0,0	606	149
4	4	22,9	4,3	667	149
6	3	39,16	2,0	527	149
37	2	89,33	4,3	2502	149
31	6	53,17	4,0	2032	149
14	9	32,12	11,10	582	149
0	7	3,2	13,3	263	149
6	0	4,8	5,3	267	149
32	0	35,18	2,0	528	149
33	38	13,17	35,51	1187	149
35	0	14,22	1,2	1191	149
50	15	48,39	7,12	1680	149
55	83	53,50	34,81	1754	149
19	122	10,8	37,97	234	149
10	57	5,3	45,52	254	149
57	24	102,97	26,13	1137	149
63	11	102,98	4,14	1142	149
66	1	106,105	0,3	1146	149
11	1	28,16	5,5	519	149
11	0	28,16	0,2	515	149
26	0	37,24	0,1	892	149
121	492	491,166	738,576	1276	149
162	2	77,140	0,0	549	149
17	66	19,19	40,62	380	149
8	5	12,9	7,34	341	149
5	10	16,11	6,56	285	149
5	0	32,2	1,0	1061	149
0	1	11,0	10,0	324	149
1	0	12,6	2,0	888	149
322	6	74,167	3,6	415	149
20	94	48,9	75,68	225	149
101	0	239,94	3,0	2589	149
9	90	9,7	44,84	261	149
100	48	149,72	22,33	2339	149
6	4	43,2	8,3	669	149
70	3	126,201	21,14	308	149
397	20	173,398	9,24	264	149
631	67	249,614	20,57	385	149
21	424	15,19	127,305	385	149
145	11	39,100	3,10	423	149
28	652	86,12	247,512	255	149
1	0	24,4	0,4	611	149
24	65	42,28	91,127	510	149
15	58	37,43	7,123	459	149
15	0	36,32	0,4	399	149
1676	7265	356,522	552,2166	5288	149
38	27	57,33	24,30	1262	149
52	111	54,49	51,97	2355	149
27	107	97,35	107,130	236	149
49	99	46,37	53,98	1840	149
37	64	44,27	26,51	1813	149
36	159	117,24	114,190	2362	149
33	5	112,21	0,1	2308	149
37	83	36,17	24,31	247	149
72	75	63,37	11,21	427	149
179	532	63,114	77,303	271	149
643	24	121,362	7,28	379	149
64	393	72,47	164,329	452	149
3031	1	1273,3432	0,6	2655	149
167	0	200,184	0,5	1370	149
3	82	7,5	34,91	226	149
122	802	113,65	361,625	241	149
32	1	177,53	3,0	2226	149
35	345	179,56	141,426	2306	149
13	470	39,23	184,617	464	149
15	659	74,30	331,923	838	149
0	27	6,5	27,51	249	149
38	13	18,11	3,8	926	149
122	22	187,149	36,42	1497	149
6	183	13,21	163,243	486	149
43	89	41,17	43,86	240	149
118	2	163,69	0,0	1249	149
0	1	0,4	0,6	219	149
21	5	0,22	0,0	316	149
10	7	0,8	0,7	224	149
162	206	854,1606	184,479	1816	149
1098	1	523,907	1,0	2954	149
703	4	357,566	0,1	2651	149
380	1	155,224	0,0	1139	149
325	0	122,202	1,1	1028	149
183	5	71,98	12,8	592	149
3	19	31,20	66,128	1747	149
79	329	149,76	212,716	503	149
80	35	55,58	5,46	521	149
70	205	53,46	63,239	513	149
26	1	44,28	0,6	352	149
27	253	47,34	96,379	413	149
1	244	11,2	82,183	372	149
25	215	17,29	45,136	224	149
67	150	127,59	21,114	544	149
44	3	31,28	1,1	396	149
60	98	35,46	10,31	678	149
84	4243	30,50	273,1392	224	149
73	0	30,44	0,2	210	149
111	6	51,74	0,2	384	149
64	2576	33,48	135,853	244	149
43	1963	13,44	76,728	226	149
34	1914	14,31	83,833	244	149
69	1133	28,178	9,589	585	149
2	17	10,7	1,33	624	149
155	8144	103,100	2671,8039	1200	149
114	2	108,69	2,0	378	149
354	9657	256,283	3763,9101	479	149
310	1	225,244	0,2	406	149
2578	4	950,2251	2,1	545	149
48	0	27,9	0,1	224	149
57	7094	32,10	3171,7022	277	149
118	11108	94,98	3303,10324	466	149
295	4565	387,163	1012,7091	1088	149
19	202	3,3	1,34	239	149
19	225	5,2	2,25	219	149
17	97	21,20	51,218	219	149
13	118	38,27	62,224	506	149
162	2	78,350	0,3	215	149
8	91	29,9	17,211	225	149
14	0	29,25	1,2	231	149
8	0	15,16	0,2	234	149
25	0	25,23	0,1	442	149
27	11	29,24	5,9	490	149
38	19	44,37	9,21	1012	149
9	36	14,13	27,18	486	149
18	0	33,33	0,1	1009	149
