IncLevel1	IncLevel2	IncLevelDifference
0.026	0.199,0.04	-0.094
0.0	0.509,0.0	-0.255
0.053	0.068,0.041	-0.002
0.012	0.094,0.019	-0.044
0.021	0.039,0.015	-0.006
0.007	0.068,0.007	-0.031
0.014	0.168,0.052	-0.096
0.028	0.125,0.048	-0.058
0.139	0.651,0.352	-0.363
0.96	1.0,1.0	-0.04
0.149	0.465,0.137	-0.152
0.466	0.726,0.849	-0.321
0.431	0.915,0.362	-0.208
0.145	0.255,0.157	-0.061
0.144	0.275,0.403	-0.195
0.309	0.415,0.244	-0.021
0.82	0.953,0.699	-0.006
0.812	0.91,0.527	0.094
0.046	0.167,0.032	-0.054
0.35	0.899,0.206	-0.203
0.006	0.045,0.01	-0.021
0.764	1.0,1.0	-0.236
0.086	0.13,0.106	-0.032
0.053	0.242,0.0	-0.068
0.085	0.314,0.047	-0.095
0.124	NA,0.0	0.124
0.151	0.446,0.044	-0.094
0.098	0.655,0.022	-0.241
0.038	0.235,0.044	-0.101
0.148	0.626,0.23	-0.28
0.823	1.0,1.0	-0.177
0.005	0.2,0.01	-0.1
0.05	0.177,0.055	-0.066
0.0	0.126,0.031	-0.079
0.733	0.821,0.812	-0.084
0.07	0.139,0.046	-0.022
0.009	0.191,0.0	-0.087
0.058	0.167,0.066	-0.059
0.97	0.978,0.98	-0.009
0.014	0.043,0.01	-0.012
0.342	0.321,0.125	0.119
0.016	0.076,0.047	-0.045
0.032	0.074,0.016	-0.013
0.036	0.11,0.052	-0.045
0.041	0.192,0.029	-0.07
0.031	0.083,0.039	-0.03
0.075	0.436,0.115	-0.201
0.066	0.176,0.034	-0.039
0.038	0.326,0.108	-0.179
0.706	0.572,0.737	0.051
0.003	0.011,0.01	-0.007
0.328	0.501,0.186	-0.016
0.992	0.991,0.982	0.006
0.012	0.063,0.008	-0.024
0.0	0.689,0.02	-0.354
0.386	1.0,0.334	-0.281
0.647	1.0,0.612	-0.159
1.0	1.0,0.804	0.098
0.041	0.179,0.05	-0.073
0.01	0.011,0.011	-0.001
1.0	0.99,0.998	0.006
0.0	1.0,0.046	-0.523
0.0	NA,0.08	-0.08
0.37	1.0,1.0	-0.63
0.487	1.0,NA	-0.513
1.0	1.0,0.377	0.311
0.982	1.0,1.0	-0.018
0.999	0.999,1.0	-0.001
0.036	0.419,0.095	-0.221
0.08	0.279,0.117	-0.118
0.023	0.1,0.011	-0.033
0.122	0.312,0.1	-0.084
0.649	1.0,0.496	-0.099
0.44	1.0,0.802	-0.461
0.91	0.908,0.928	-0.008
1.0	0.713,0.795	0.246
0.09	0.539,0.238	-0.298
0.009	0.012,0.0	0.003
0.008	0.053,0.01	-0.024
0.064	0.551,0.042	-0.233
0.035	0.249,0.106	-0.142
0.21	1.0,0.225	-0.403
0.063	0.15,0.034	-0.029
0.027	0.046,0.076	-0.034
0.014	0.062,0.009	-0.021
0.025	0.114,0.011	-0.037
1.0	0.796,0.311	0.447
0.026	0.054,0.0	-0.001
0.027	0.222,0.025	-0.097
0.048	0.187,0.044	-0.067
