IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	3	2,0,0,0	78,0,0,0	199	149
4	4	3,0,2,0	0,2,0,0	298	149
0	2	13,0,0,0	0,0,0,0	273	149
3	1	23,115,48,42	7,228,53,80	298	149
0	1	9,10,6,4	7,228,53,80	199	149
0	72	16,0,2,1	207,18,6,6	254	149
3	610	4,0,1,1	530,341,166,154	298	149
2	184	0,4,2,1	96,118,52,37	153	149
8	4	0,2,1,0	0,1,0,0	161	149
38	9	28,3,4,2	16,7,2,4	166	149
32	2	63,123,103,94	8,31,13,4	158	149
11	2	12,9,12,12	8,31,13,4	201	149
7	28	6,3,9,9	57,117,100,91	192	149
0	2	0,0,0,4	0,0,0,0	159	149
5	1	6,0,0,4	0,0,0,0	222	149
6	1	6,0,0,4	0,0,0,0	239	149
7	1	7,0,0,4	0,0,0,0	298	149
0	10	4,0,0,0	17,4,0,1	204	149
2	3	1,0,0,0	0,0,0,0	179	149
0	696	4,0,0,2	403,333,124,85	220	149
5	50	5,1,2,8	1,3,18,3	298	149
22	2	17,10,2,6	0,2,0,0	153	149
3	35	5,2,4,0	50,8,6,10	298	149
3	35	5,0,0,0	50,8,6,10	298	149
17	0	21,6,2,0	1,0,0,0	230	149
1	0	1,0,0,0	13,0,0,0	196	149
73	4	101,20,28,19	0,0,0,0	298	149
15	4	27,21,11,9	0,0,1,0	204	149
9	49	3,5,2,4	9,19,12,27	154	149
5	6	4,3,3,0	4,1,7,6	154	149
4	1	10,2,0,0	0,0,0,0	298	149
0	14	1,0,0,0	20,10,0,8	160	149
16	0	2,5,0,1	0,0,0,2	205	149
1	3	5,0,0,2	2,0,0,0	184	149
6	2	10,0,0,0	33,7,0,4	184	149
0	2	4,0,0,0	2,0,0,0	210	149
38	0	12,32,16,27	2,0,0,0	243	149
45	1	10,32,14,27	0,0,0,0	243	149
12	4	10,0,0,0	5,0,0,0	298	149
0	1	3,0,0,0	0,0,0,0	153	149
3	0	7,0,0,0	2,0,0,2	201	149
164	1	1587,327,20,25	2,2,0,0	159	149
0	1	50,0,0,0	2,2,0,0	298	149
0	164	33,0,0,0	1569,327,20,25	298	149
0	11	20,0,0,0	718,1,1,6	173	149
