IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	7	4,0,0,0	15,4,0,0	204	149
75	11	57,55,41,51	10,5,1,1	275	149
64	45	47,29,34,41	32,11,2,2	275	149
15	45	25,5,1,1	32,11,2,2	298	149
18	2	48,37,7,11	19,2,0,0	298	149
33	0	104,7,2,0	2,0,0,0	262	149
15	0	91,0,2,0	6,0,0,0	230	149
21	1	68,1,0,1	1,0,0,0	277	149
3	13	16,0,0,0	70,0,1,11	297	149
318	2	270,52,24,13	0,0,0,0	269	149
9	183	15,1,2,0	118,34,19,10	298	149
8	2	66,0,0,0	20,0,0,0	275	149
12	28	8,1,2,0	9,0,0,0	298	149
25	4	11,0,0,0	3,0,0,0	233	149
403	5	86,29,18,46	0,0,1,0	298	149
177	1	46,22,12,11	0,0,0,0	298	149
2	3	3,0,0,0	2,0,0,0	298	149
12	61	0,1,2,0	40,7,21,16	284	149
3	4	9,6,3,1	3,6,1,0	271	149
2	79	6,8,8,11	48,80,78,78	298	149
2	79	6,8,8,11	48,80,78,78	298	149
4	79	6,14,16,27	48,80,78,78	298	149
0	76	0,0,1,0	68,89,102,106	298	149
84	1	101,108,104,114	4,0,0,0	298	149
76	7	68,91,103,106	0,0,0,0	298	149
94	7	76,112,80,137	0,0,0,0	298	149
101	0	105,131,82,145	0,2,1,0	298	149
2	2	59,5,4,5	0,0,0,0	242	149
0	8	2,0,0,0	27,6,0,0	214	149
48	0	36,24,9,18	6,0,0,0	236	149
38	0	9,6,9,14	6,0,0,0	287	149
0	10	1,0,0,0	7,11,2,0	265	149
1	2	3,0,0,2	6,3,0,0	244	149
1	2	11,0,0,2	6,3,0,0	277	149
22	4	55,4,3,10	0,0,0,0	298	149
47	2	158,6,8,4	0,0,0,0	259	149
2	5	42,14,2,0	63,10,0,0	298	149
13	0	34,6,0,6	2,0,0,0	298	149
15	0	44,7,0,6	2,0,0,0	283	149
91	0	84,31,16,21	1,0,0,0	298	149
181	0	112,50,54,65	1,0,0,0	287	149
209	0	154,37,50,77	0,0,0,2	298	149
159	1	66,46,36,36	0,0,0,2	220	149
582	8	273,260,225,231	2,7,2,2	235	149
4	0	7,0,0,0	2,0,0,0	265	149
3	19	5,11,0,10	56,15,6,5	241	149
48	1	138,46,20,29	2,0,0,0	298	149
60	0	125,41,11,14	2,0,0,0	212	149
44	0	138,32,14,18	2,0,0,0	298	149
0	33	1,0,0,0	19,43,28,13	268	149
3	113	1,0,0,2	24,26,41,20	286	149
1	113	2,0,2,0	24,26,41,20	241	149
172	1	48,56,59,46	1,0,0,0	298	149
