IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	37	4,0,1,2	49,26,9,10	204	149
33	84	4,0,0,9	23,32,31,33	374	149
5	0	5,0,0,1	0,4,0,0	198	149
4	4	6,0,1,1	12,0,0,0	198	149
23	581	18,6,5,5	368,285,209,158	166	149
16	2	11,7,2,6	0,0,0,0	182	149
54	0	10,0,2,5	0,2,0,0	2396	149
9	0	0,4,0,14	6,0,0,0	215	149
0	2	1,0,0,0	27,0,0,0	152	149
0	10	0,2,0,0	27,18,0,4	200	149
0	6	4,0,0,0	38,0,0,0	309	149
0	2	3,1,0,0	10,1,0,0	191	149
4	0	0,0,2,0	1,0,0,2	233	149
3	0	3,0,0,0	2,0,0,0	165	149
266	0	94,90,152,104	0,2,0,0	644	149
0	2	3,3,1,2	1,6,0,0	266	149
1	6	0,0,0,0	2,0,0,0	176	149
1	8	12,2,0,0	3,0,0,2	271	149
6	8	14,2,0,0	3,0,0,2	244	149
0	4	6,0,0,0	3,0,0,0	232	149
73	2	51,10,15,12	0,2,0,0	218	149
2	44	11,0,4,0	102,16,6,11	152	149
5	2	15,2,0,0	15,0,0,0	152	149
27	0	34,25,5,16	2,0,0,2	182	149
2	0	35,1,0,0	7,0,0,0	257	149
2	2	53,0,0,0	52,0,0,0	257	149
5	16	2,0,0,0	89,3,0,0	152	149
185	0	573,73,97,102	1,0,0,0	5246	149
351	2	228,116,138,132	2,0,0,1	2845	149
5	1	36,11,0,7	14,4,0,0	184	149
2	0	0,4,4,0	0,2,2,0	152	149
3	0	4,0,0,2	3,4,0,0	152	149
0	2	2,0,0,0	2,0,0,0	152	149
2	0	0,0,0,0	5,2,0,0	152	149
1	0	0,0,0,2	2,0,0,1	305	149
30	28	132,18,25,14	552,15,3,6	994	149
2	2	0,0,0,0	7,5,2,0	172	149
2	11	0,2,0,0	0,1,4,2	152	149
3	2	1,1,0,0	0,0,0,0	215	149
0	2	0,1,0,0	3,11,0,0	226	149
2	0	59,0,0,0	1,0,0,0	154	149
26	0	213,7,0,4	3,0,0,0	257	149
1	0	24,0,0,0	3,0,0,0	187	149
6	4	13,2,4,5	33,2,0,0	845	149
6	4	17,2,4,5	33,2,0,0	1099	149
178	0	500,27,14,33	2,0,0,0	531	149
10	164	17,3,0,0	1569,327,20,25	254	149
7	0	73,6,0,0	1,0,0,0	196	149
0	40	1,0,0,0	621,68,14,15	167	149
1070	0	1782,933,166,258	4,0,0,0	157	149
88	42	121,30,67,50	23,22,17,23	445	149
68	7	86,27,19,39	1,0,1,0	155	149
2	103	6,3,3,3	206,60,38,48	191	149
19	75	12,8,2,3	50,25,14,9	176	149
13	174	3,5,6,4	90,63,70,80	176	149
69	0	44,6,1,2	2,0,0,0	283	149
4	1	0,0,0,4	0,0,0,0	232	149
4	2	4,0,3,0	0,2,0,0	163	149
11	26	14,8,6,0	30,23,21,27	152	149
113	0	295,77,29,53	2,0,0,0	242	149
10	4	4,9,7,2	0,1,0,0	155	149
23	3	5,11,8,6	0,0,0,0	155	149
0	16	0,1,0,0	7,5,2,8	152	149
17	12	1,13,0,1	12,12,18,9	152	149
0	1	1,0,0,0	1,2,0,2	174	149
0	71	2,0,0,0	301,101,11,18	179	149
267	0	389,218,79,119	0,1,0,0	200	149
0	7	3,0,0,0	9,0,0,0	181	149
0	7	2,0,0,0	9,0,0,0	169	149
2	0	1,0,0,0	1,0,0,0	245	149
2	0	0,0,0,0	10,0,0,0	242	149
5	0	23,0,0,0	2,0,0,0	466	149
5	0	45,0,0,0	2,0,0,0	709	149
28	0	248,51,2,10	1,4,0,0	596	149
1	6	0,0,0,6	2,0,0,2	212	149
31	58	13,13,30,9	13,88,79,75	152	149
59	120	41,24,40,42	45,113,169,154	409	149
234	0	182,248,363,348	0,0,0,4	3955	149
5	3	4,8,1,2	4,2,2,3	152	149
7	0	27,2,0,0	2,0,0,0	219	149
0	13	2,0,0,0	31,8,5,13	204	149
2	4	8,1,0,2	25,5,4,4	214	149
3	4	9,3,0,4	25,5,4,4	345	149
51	0	45,26,33,14	0,2,0,0	220	149
2	0	23,2,0,0	12,0,0,0	152	149
10	0	109,13,2,4	7,0,0,0	224	149
0	1	6,0,0,0	4,0,0,0	729	149
197	0	1262,266,23,24	0,2,0,0	336	149
0	8	2,0,0,0	93,2,0,0	168	149
2	2	23,2,0,0	15,0,0,2	152	149
0	9	1,0,0,0	2,3,0,14	162	149
0	2	0,1,0,0	15,2,1,0	214	149
161	0	150,64,39,29	0,1,0,0	169	149
4	10	0,0,0,0	7,0,4,3	166	149
1	5	6,0,0,0	51,2,0,0	201	149
0	1	7,0,0,0	10,0,0,0	158	149
2	4	6,0,3,2	2,0,0,0	152	149
0	29	2,0,0,0	46,9,3,9	193	149
3	0	14,2,0,0	23,0,0,0	161	149
311	2	339,162,175,189	0,0,1,0	592	149
4	13	0,0,0,0	16,4,0,2	531	149
3	31	4,0,0,2	152,60,10,7	302	149
23	0	56,13,11,6	2,0,0,0	196	149
33	0	53,25,27,33	0,1,4,0	189	149
4	2	3,0,0,0	2,0,0,0	230	149
92	26	2,17,11,19	0,5,5,8	227	149
4	8	2,0,0,0	4,2,0,0	181	149
2	2	4,0,0,0	12,6,0,0	181	149
2	0	90,4,2,2	2,0,0,0	206	149
2	0	64,7,0,0	1,0,0,0	197	149
0	6	2,0,0,0	21,3,2,2	326	149
19	0	39,10,2,9	4,0,0,0	187	149
8	0	58,4,2,0	5,0,0,0	153	149
0	4	20,0,0,0	29,0,0,0	284	149
4	4	29,0,0,0	29,0,0,0	287	149
2	0	9,2,0,0	15,0,0,0	152	149
3	0	58,0,0,0	5,2,0,0	153	149
41	10	42,23,11,4	13,7,2,4	152	149
0	36	8,0,0,0	473,46,7,18	210	149
3	37	5,0,1,0	415,52,3,11	171	149
4	0	16,0,0,0	2,0,0,0	212	149
242	1	141,98,80,67	1,2,0,2	230	149
38	0	223,17,7,9	1,0,0,0	2550	149
143	101	95,85,31,46	61,26,26,22	152	149
2	4	19,0,0,3	62,3,0,0	152	149
1	0	0,0,0,0	1,0,2,0	249	149
