IncLevel1	IncLevel2	IncLevelDifference
1.0,0.0,NA,NA,0.4	1.0,1.0,NA,NA,1.0,1.0,NA,NA,1.0,0.294,0.375,1.0,NA,NA,1.0,1.0	-0.4
NA,NA,1.0,1.0,0.413	0.526,1.0,NA,NA,1.0,1.0,1.0,0.214,0.676,0.483,0.523,1.0,0.388,NA,1.0,0.526	0.086
1.0,0.264,NA,NA,0.083	0.2,NA,NA,NA,0.215,0.0,0.0,0.158,0.316,0.136,0.082,0.143,0.714,0.0,0.148,0.131	0.276
0.0,0.0,0.143,0.0,0.048	0.087,0.0,NA,NA,0.0,0.0,0.2,0.0,0.175,0.05,0.009,0.053,0.091,NA,0.179,0.333	-0.052
NA,0.09,0.333,1.0,0.111	0.062,NA,NA,NA,0.212,NA,NA,0.029,0.448,0.068,0.0,0.0,NA,1.0,0.2,0.065	0.175
NA,1.0,1.0,1.0,0.904	1.0,NA,NA,NA,1.0,NA,1.0,1.0,0.971,1.0,0.778,1.0,1.0,NA,1.0,1.0	-0.001
0.0,0.25,0.0,0.333,0.072	0.055,0.0,NA,NA,0.241,0.111,0.6,0.163,0.289,0.082,0.042,0.21,0.17,0.0,0.327,0.462	-0.066
NA,0.02,NA,NA,0.04	0.086,NA,NA,0.0,0.015,1.0,NA,0.033,0.088,0.045,0.023,0.019,0.111,0.0,0.037,0.265	-0.102
0.342,0.638,0.285,0.117,0.117	0.385,0.242,0.402,0.619,0.656,0.79,0.626,0.206,0.441,0.211,0.187,0.304,0.632,0.46,0.172,0.263	-0.112
NA,0.0,NA,NA,0.043	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.0,0.031,NA,NA,NA,NA,NA	-0.486
NA,0.273,NA,NA,0.125	NA,NA,NA,NA,0.4,NA,NA,1.0,1.0,0.024,0.011,0.0,NA,NA,NA,0.846	-0.27
NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,0.049,0.2,NA,NA,NA,0.143	0.831
1.0,0.035,NA,NA,0.069	0.0,NA,NA,NA,0.104,NA,NA,0.083,0.453,0.078,0.054,0.0,0.398,NA,0.146,0.284	0.208
1.0,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.964,1.0,1.0,1.0,NA,NA,NA,1.0	0.004
0.0,0.462,1.0,NA,0.116	0.0,NA,1.0,0.0,0.531,1.0,1.0,NA,0.311,0.129,0.067,0.333,0.171,0.0,0.231,0.25	0.036
0.0,0.49,0.0,0.0,0.163	0.778,0.0,NA,NA,0.535,0.25,0.0,0.6,0.427,0.188,0.205,0.571,0.032,0.0,0.545,1.0	-0.236
NA,0.0,NA,NA,0.5	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,0.0,NA,NA,NA,0.0,NA	-0.417
1.0,0.75,NA,NA,0.179	0.273,NA,NA,NA,0.051,1.0,NA,0.0,0.317,0.189,0.056,0.143,0.0,1.0,0.474,0.1	0.343
NA,0.172,NA,NA,0.078	0.0,NA,NA,NA,0.27,NA,NA,0.0,0.308,0.056,0.0,0.0,NA,NA,0.0,0.0	0.055
1.0,1.0,1.0,1.0,1.0	1.0,0.962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.002
NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.333,NA,NA,NA,1.0,NA,0.0,0.0,NA,NA,NA,NA	-0.333
0.5,0.016,1.0,1.0,0.029	0.0,NA,NA,NA,0.015,1.0,0.0,0.0,0.069,0.02,0.005,0.067,0.133,1.0,0.061,0.023	0.325
0.0,NA,NA,NA,0.529	0.0,0.0,NA,NA,0.0,NA,NA,NA,0.6,0.0,0.0,0.111,NA,NA,NA,1.0	0.051
NA,0.011,0.0,0.0,0.037	NA,NA,NA,NA,0.0,NA,NA,0.0,0.124,0.0,0.02,0.0,0.124,NA,0.0,0.361	-0.058
NA,0.021,NA,NA,0.008	0.083,NA,NA,NA,0.005,NA,NA,0.0,0.062,0.05,0.044,0.113,0.054,NA,0.066,0.028	-0.036
NA,0.0,0.5,NA,1.0	1.0,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0	-0.423
NA,0.167,NA,NA,0.2	NA,NA,NA,NA,0.292,NA,NA,0.0,0.733,0.286,0.0,NA,NA,NA,NA,0.333	-0.09
0.765,0.496,0.882,0.714,0.269	0.678,0.6,1.0,1.0,0.516,0.882,0.704,0.632,0.698,0.305,0.089,0.8,0.714,0.2,0.489,0.667	0.002
1.0,1.0,1.0,1.0,0.966	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.007
0.871,0.404,0.92,0.467,0.365	0.667,1.0,1.0,1.0,0.426,0.774,1.0,0.542,0.714,0.333,0.066,0.739,0.815,1.0,0.575,0.704	-0.104
1.0,0.593,0.778,1.0,0.456	0.846,1.0,1.0,1.0,0.696,1.0,1.0,0.5,0.824,0.573,0.642,0.733,0.81,1.0,0.414,0.75	-0.034
1.0,1.0,1.0,1.0,1.0	1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,1.0	0.005
1.0,0.75,0.714,1.0,0.706	0.892,1.0,1.0,NA,0.936,1.0,1.0,0.837,0.92,0.815,0.839,1.0,0.778,1.0,0.565,0.879	-0.063
1.0,0.2,1.0,0.538,0.619	0.625,0.25,NA,NA,1.0,0.579,1.0,0.455,0.92,0.455,0.2,0.556,1.0,NA,1.0,1.0	-0.024
1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,0.714	0.019
