IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
16	0	15,20	2,0	2227	149
0	26	2,4	10,11	374	149
2	336	4,2	146,175	166	149
18	1	7,2	0,0	182	149
0	2	2,2	0,0	905	149
59	1	11,4	0,0	2396	149
1	13	4,0	14,16	200	149
1	2	1,4	3,6	191	149
5	2	0,0	4,0	233	149
0	2	0,4	0,0	235	149
0	2	3,0	0,5	266	149
0	15	2,0	15,13	168	149
1	3	3,6	0,0	271	149
1	3	6,8	0,0	244	149
4	8	1,3	23,16	166	149
5	41	3,0	34,16	152	149
5	2	6,5	7,0	152	149
0	9	4,0	8,6	258	149
15	4	9,14	3,10	257	149
3	31	0,0	7,5	152	149
85	2	176,149	0,0	2845	149
70	2	68,36	0,2	600	149
2	0	2,2	2,1	256	149
609	4	524,147	2,0	1300	149
81	0	107,30	2,0	289	149
15	3	20,18	1,2	215	149
0	19	3,2	10,4	164	149
4	0	5,13	0,2	184	149
1	0	3,5	4,0	152	149
4	2	2,2	0,0	463	149
40	9	29,38	4,5	994	149
0	5	0,1	3,1	172	149
4	10	1,2	6,0	152	149
2	0	0,0	0,2	316	149
0	2	8,2	0,2	845	149
0	2	10,6	0,2	1099	149
0	84	5,4	88,95	254	149
2	42	0,0	44,49	167	149
59	17	103,97	10,12	445	149
42	0	75,72	3,0	155	149
4	0	0,0	0,1	152	149
3	77	9,1	62,41	191	149
9	47	11,6	51,52	176	149
2	81	8,0	75,51	176	149
50	0	8,27	0,2	283	149
4	14	16,13	39,38	152	149
8	2	6,6	5,2	152	149
0	68	2,0	134,112	179	149
104	1	175,230	0,0	200	149
1	1	0,4	0,0	166	149
13	24	0,2	13,14	152	149
34	12	23,24	9,22	409	149
4	3	10,9	7,4	152	149
0	14	0,1	6,16	204	149
17	1	4,18	0,0	191	149
6	5	8,10	6,2	214	149
6	5	10,8	6,2	345	149
155	2	265,366	0,0	2740	149
2	2	4,4	4,2	152	149
100	2	41,52	0,2	169	149
1	1	4,2	0,0	190	149
4	46	0,2	7,21	211	149
0	8	0,2	17,14	201	149
23	2	32,19	0,0	196	149
1	1	0,4	0,0	755	149
6	7	12,13	18,1	227	149
0	1	0,1	7,7	182	149
2	3	0,0	2,0	152	149
4	12	2,0	4,4	284	149
5	12	4,2	4,4	287	149
2	1	2,2	0,0	152	149
19	5	15,7	5,6	152	149
2	101	0,3	40,39	171	149
71	9	109,129	0,2	230	149
50	27	56,76	21,55	152	149
0	8	0,1	7,15	152	149
0	2	7,4	5,1	249	149
3	1	6,0	0,0	171	149
12	141	9,0	76,24	171	149
1743	0	3152,1989	2,0	4704	149
8	62	6,12	47,44	167	149
63	17	55,62	13,20	152	149
26	1	79,112	1,7	158	149
2	0	0,4	2,0	210	149
8	39	9,11	52,47	658	149
54	0	82,64	1,2	158	149
11	2	9,22	10,13	161	149
7	24	18,22	45,27	152	149
0	8	2,2	0,4	223	149
7	3	2,2	0,0	276	149
2	4	0,0	10,7	186	149
25	190	27,13	121,113	196	149
0	100	0,2	83,69	167	149
19	83	2,9	65,43	170	149
241	0	114,85	3,2	214	149
89	4	58,36	0,0	214	149
3	1	13,15	0,0	152	149
3	2	2,0	0,0	179	149
5	0	2,3	0,4	167	149
5	0	4,3	4,0	167	149
0	40	2,0	72,82	213	149
0	6	10,2	6,2	276	149
1	39	0,2	30,26	319	149
0	2	2,2	1,2	152	149
1	54	0,0	34,14	157	149
1	19	5,1	13,11	169	149
6	2	10,10	1,0	153	149
81	0	99,125	0,2	464	149
34	0	31,14	2,0	189	149
18	12	11,17	13,13	468	149
4	2	6,7	2,0	300	149
34	2	59,35	9,2	204	149
30	0	52,27	0,2	204	149
3	77	10,13	139,70	266	149
4631	20	1182,1019	4,0	5318	149
93	0	25,14	0,2	217	149
1	41	0,0	24,0	177	149
17	73	3,6	30,22	214	149
20	4	20,16	8,1	243	149
20	0	87,40	1,1	218	149
192	12	2,0	0,0	213	149
8	120	4,7	33,18	188	149
2	2	2,5	2,0	152	149
11	93	10,2	80,49	165	149
5	8	10,6	16,10	435	149
87	1	44,28	0,0	183	149
169	4	98,79	2,0	158	149
0	45	1,0	23,13	164	149
1	42	0,5	23,18	229	149
3	11	0,0	6,2	169	149
470	3	580,258	2,0	2246	149
60	4	34,19	0,0	294	149
107	1	143,64	0,0	1646	149
0	24	4,0	18,7	153	149
6	2	3,2	3,8	152	149
78	10	28,6	0,0	249	149
105	3	53,12	0,0	249	149
31	2	36,27	7,0	183	149
8	0	11,11	2,2	157	149
3	128	0,0	2,20	163	149
0	125	1,5	144,220	222	149
725	7	863,1370	7,3	153	149
165	0	209,359	1,6	205	149
883	0	1065,1726	1,6	209	149
17	2	8,34	4,7	675	149
0	21	1,0	13,37	326	149
85	2	72,74	0,0	156	149
7	23	4,10	18,31	546	149
0	4	0,1	18,23	241	149
87	2	72,33	0,0	321	149
5	2	7,7	0,0	174	149
6	138	5,6	168,150	176	149
319	0	314,212	2,4	230	149
130	0	214,264	1,0	166	149
5	6	1,4	27,11	176	149
2	9	0,0	4,6	152	149
153	2	223,187	1,0	164	149
2807	4	992,745	2,2	1752	149
43	6	4,7	0,2	154	149
274	4	31,25	0,0	170	149
193	9	24,16	3,2	182	149
151	4	85,40	2,0	244	149
1	0	3,2	0,2	154	149
4	0	0,0	0,1	171	149
1	7	0,6	0,0	433	149
59	0	66,77	2,4	182	149
119	1	38,88	0,0	188	149
30	1	16,26	0,0	152	149
33	0	16,26	0,2	155	149
4	0	0,0	0,2	152	149
5	0	9,0	2,0	152	149
2	0	1,0	0,2	170	149
21	0	12,33	2,2	205	149
2640	30	1092,623	10,17	226	149
0	109	2,0	164,119	188	149
18	0	19,18	0,2	152	149
1	1	0,0	13,3	164	149
2	15	14,4	39,46	170	149
5	66	7,8	80,40	349	149
91	5	86,52	0,0	154	149
5	52	1,1	56,50	188	149
3	32	3,2	39,45	167	149
2	1	2,2	2,0	456	149
44	0	34,28	0,1	239	149
5	0	0,7	2,0	666	149
101	0	109,99	1,0	222	149
86	0	103,53	3,0	1105	149
25	0	35,36	1,4	152	149
4	0	30,48	2,0	211	149
0	9	0,1	9,4	173	149
79	0	55,76	2,2	741	149
69	2	48,94	4,0	203	149
97	2	59,42	0,0	225	149
159	2	312,138	0,2	242	149
845	36	2127,783	21,9	1505	149
28	3	23,49	4,0	153	149
12	0	37,20	0,2	180	149
6	0	4,3	0,2	167	149
66	3	89,56	0,0	1598	149
6	0	24,5	2,4	152	149
15	102	6,8	43,39	217	149
4	15	2,2	26,16	168	149
107	31	24,29	5,2	797	149
3	4	8,7	3,1	208	149
24	3	24,3	6,4	152	149
4	132	7,3	85,34	184	149
6	0	7,11	0,2	195	149
1	1	2,4	0,0	277	149
10	0	11,10	2,0	350	149
2	0	0,0	0,14	230	149
7	11	1,9	11,18	153	149
1	58	0,0	12,18	271	149
12	0	21,28	1,6	201	149
49	2	31,28	0,0	233	149
56	7	62,58	7,2	414	149
105	0	135,102	0,2	2249	149
0	75	2,0	28,29	197	149
48	2	47,84	1,8	184	149
0	2	0,2	5,0	152	149
40	0	69,52	2,0	245	149
0	7	0,2	4,2	180	149
5	36	7,2	53,25	216	149
4	4	10,16	2,19	672	149
0	1	12,11	5,14	652	149
10	55	26,64	46,77	994	149
67	0	97,143	4,0	1355	149
25	13	18,12	1,0	187	149
0	2	7,12	5,5	152	149
20	0	26,25	0,1	173	149
1	0	6,2	12,0	152	149
2	4	0,1	5,4	161	149
32	3	44,39	1,0	152	149
0	15	1,2	9,16	202	149
0	2	2,0	0,0	272	149
2	10	3,2	1,0	756	149
9077	5	1956,1274	0,6	152	149
263790	16	66825,76846	4,6	700	149
57	0	171,100	0,1	153	149
11	0	4,3	0,2	152	149
2	59	20,8	111,60	301	149
57	0	203,171	2,2	2530	149
0	8	2,2	42,17	176	149
0	26	4,0	91,34	220	149
60	0	229,94	2,0	233	149
6	7	29,8	50,24	231	149
0	32	9,4	81,31	200	149
26	5	59,72	30,11	152	149
0	5	2,0	3,10	176	149
3	62	4,5	151,78	185	149
94	0	141,66	2,0	193	149
0	57	3,0	122,67	200	149
13	1	51,35	0,4	244	149
63	3	117,69	23,6	188	149
3	1	9,4	0,0	200	149
0	12	4,0	56,27	174	149
501	23	293,349	12,20	152	149
8	4	0,8	0,0	152	149
2	17	29,21	84,38	277	149
2	74	2,1	149,75	184	149
6	0	35,10	7,1	232	149
58	2	54,26	2,0	290	149
937	7	722,296	24,4	219	149
291	0	685,293	3,0	205	149
227	6	465,174	11,5	212	149
4	52	2,2	36,61	236	149
2	2	0,6	0,0	323	149
15	6	42,60	28,25	152	149
0	15	1,0	97,76	152	149
4	2	0,2	3,0	152	149
22	2	8,31	0,0	591	149
1	1	0,4	2,12	208	149
13	2	21,29	0,0	797	149
1	0	7,6	1,0	253	149
8	2	30,17	12,3	253	149
0	2	4,0	0,6	167	149
35	0	30,33	2,0	218	149
0	63	0,1	54,41	171	149
33	3	35,8	8,0	154	149
5	0	6,8	2,4	152	149
0	1	2,2	2,2	389	149
54	2	57,28	0,0	183	149
7	8	3,3	12,2	197	149
2	26	0,2	47,55	179	149
0	1	0,1	0,1	220	149
4	5	0,2	0,0	324	149
7	4	1,5	2,10	152	149
3	0	8,6	4,7	172	149
7	0	29,19	2,0	1103	149
2	77	7,4	114,81	621	149
0	2	6,2	12,8	256	149
0	36	2,2	61,41	163	149
10	0	8,4	0,1	181	149
71	8	37,34	0,0	244	149
2	0	0,2	2,0	154	149
0	3	3,0	1,12	189	149
0	2	0,2	4,4	300	149
13	0	28,45	0,2	275	149
2	0	0,7	0,2	152	149
1	2	4,4	0,0	269	149
59	2	53,48	2,0	185	149
52	2	57,51	2,5	152	149
1	4	6,2	2,9	191	149
0	3	2,4	29,42	306	149
8	2	58,36	1,0	152	149
6	57	1,0	7,4	182	149
2	57	0,0	7,4	200	149
1	20	0,0	27,14	171	149
2	21	0,2	32,24	156	149
1	0	0,0	1,1	152	149
118	0	19,61	2,8	162	149
292	0	154,127	5,3	185	149
9	0	5,4	2,0	152	149
33	91	75,50	53,39	534	149
3	52	4,2	67,33	246	149
41	33	57,62	13,12	789	149
0	27	1,2	17,14	186	149
74	1	145,111	0,2	237	149
4	1	0,4	0,0	172	149
2	1	0,1	2,2	227	149
14	1	6,25	0,2	226	149
6	2	13,10	0,6	209	149
0	4	2,0	12,18	197	149
28	12	24,30	35,30	152	149
3	2	3,0	24,11	154	149
3	95	3,3	127,98	162	149
7	37	7,12	62,36	182	149
7	0	17,6	4,3	179	149
0	6	4,12	6,2	917	149
1	3	0,0	10,4	244	149
1290	4	744,838	0,0	442	149
16	14	10,8	0,11	152	149
898	4	1252,1228	2,0	153	149
64	25	41,41	25,5	309	149
6	0	14,19	2,0	153	149
246	0	296,245	2,0	620	149
28	11	53,16	10,8	156	149
30	11	31,25	11,13	152	149
54	2	32,13	2,0	152	149
0	98	0,3	69,76	166	149
52	68	60,33	102,41	170	149
3	140	5,2	200,141	201	149
3	16	0,2	4,1	188	149
8	0	12,17	0,2	168	149
67	9836	0,1	104,134	165	149
24	688	0,0	10,21	234	149
9	6	19,14	27,25	152	149
17	2	49,22	10,4	152	149
21	2	62,43	0,2	158	149
2	66	8,7	81,67	172	149
2	0	0,3	1,2	190	149
40	0	58,66	1,6	228	149
6	0	11,9	0,2	211	149
0	13	14,0	38,32	231	149
11	0	10,4	2,1	154	149
91	21	129,146	25,45	410	149
4	0	11,27	1,3	152	149
5	2	15,44	9,4	194	149
1	2	5,20	9,4	191	149
0	2	4,4	2,8	152	149
0	4	0,2	1,0	258	149
4	5	7,4	0,2	314	149
4	0	0,2	2,0	156	149
5	6	22,11	6,2	387	149
5	16	11,0	2,6	170	149
67	4	131,85	13,3	152	149
155	50	76,29	28,15	152	149
6	2	2,2	0,0	152	149
4	37	6,6	25,27	230	149
29	61	26,18	5,28	224	149
40	61	34,20	5,28	240	149
65	61	44,23	5,28	274	149
11	0	8,4	0,2	165	149
36	0	18,7	0,2	199	149
