ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
4248	0,4,0,0,0	0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,2,0,0,0,0,7,0,0,0,24,9	238	298	1	1.0
4249	0,2,0,0,0	0,30,0,0,6	0,0,0,0,36,0,2,0,0,0,37,0,0,0,108,7	0,0,0,0,246,2,2,0,0,0,261,0,0,0,626,113	260	298	1	1.0
4250	0,6,0,0,0	0,11,2,0,0	0,0,0,0,42,0,0,0,0,0,66,0,0,0,33,2	0,0,0,0,114,0,0,2,0,0,162,0,0,0,313,126	258	298	1	1.0
4253	0,6,0,0,0	0,0,0,0,0	0,0,0,0,11,0,0,0,0,0,38,0,0,0,18,2	0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4	263	182	1	1.0
4258	0,30,0,0,0	0,2344,0,0,4	0,0,0,0,78,0,0,0,0,0,131,0,0,0,10,0	0,0,0,0,1100,0,0,7,6,10,1863,0,0,0,1167,64	225	298	1	1.0
4260	0,1,0,0,0	0,0,4,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,25,0	184	246	1	1.0
4261	0,17,0,0,0	0,28,0,0,0	0,0,0,0,29,0,2,0,0,0,71,0,0,0,109,5	0,0,0,0,105,0,0,0,0,0,59,0,0,0,67,5	234	212	1	1.0
4262	0,36,0,0,0	0,30,0,0,0	0,0,0,0,0,0,0,0,0,0,23,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,33,0,0,0,12,1	269	298	1	1.0
4265	0,4,0,0,2	0,0,0,0,0	0,0,0,0,3,0,0,0,0,0,6,0,0,0,2,0	0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0	270	208	1	1.0
4266	0,8,0,0,0	0,5,0,0,0	0,0,0,0,124,0,0,0,0,0,632,0,0,0,8,11	0,0,0,0,45,0,0,0,0,0,157,0,0,0,2,3	298	194	1	1.0
4268	0,11,0,0,0	0,15,0,0,0	0,0,0,0,28,0,0,0,0,0,18,0,0,0,30,3	0,0,0,0,63,2,0,0,0,0,22,0,0,0,88,2	216	237	1	1.0
4269	0,0,0,0,0	0,15,0,0,0	0,0,0,0,43,0,0,0,0,0,1,0,0,0,27,0	0,0,0,0,63,2,0,0,0,0,22,0,0,0,88,2	194	237	1	1.0
4270	0,0,0,0,0	0,26,0,0,0	0,0,0,0,57,0,0,0,0,0,30,0,0,0,53,4	0,0,0,0,82,0,0,0,0,0,29,0,0,0,37,6	235	216	1	1.0
4273	0,6,0,0,0	0,6,0,0,0	0,0,0,0,56,0,0,0,0,0,1,0,0,0,31,0	0,0,0,0,64,0,0,0,0,0,33,0,0,0,56,5	194	235	1	1.0
